 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 3.82157e+11 1.6019e+11 2.72707e+11 2.37373e+11 2.69632e+11 2.60632e+11 2.95368e+11 2.73274e+11 3.72142e+11 3.0281e+11 2.91076e+11 3.10672e+11 3.17447e+11 2.40633e+11 4.23324e+11 3.62082e+11 4.49803e+11
2 2.44792e+11 9.29586e+10 1.56001e+11 7.87809e+10 1.0208e+11 1.16406e+11 1.21289e+11 1.00002e+11 1.39359e+11 1.69036e+11 1.47288e+11 1.05366e+11 1.24884e+11 8.01583e+10 2.39136e+11 1.60215e+11 3.16382e+11
3 1.58962e+11 9.70194e+10 1.32698e+11 8.29706e+10 9.28787e+10 9.68475e+10 9.05825e+10 8.24442e+10 8.79233e+10 1.10025e+11 8.74186e+10 1.03623e+11 1.49285e+11 1.16041e+11 1.1341e+11 9.28785e+10 2.16919e+11
4 1.17924e+11 1.45811e+11 1.1462e+11 8.12854e+10 7.70069e+10 1.00571e+11 7.91107e+10 8.80814e+10 1.06455e+11 4.10241e+10 9.9831e+10 1.09619e+11 1.80714e+11 1.2086e+11 1.43438e+11 8.30167e+10 1.13833e+11
5 140594454539 1.47745e+11 1.24735e+11 1.09279e+11 9.86973e+10 9.69222e+10 1.2802e+11 6.48e+10 1.19969e+11 8.36055e+10 1.43564e+11 1.05046e+11 1.71272e+11 1.28872e+11 1.57599e+11 8.78975e+10 1.32227e+11
6 1.46572e+11 1.74074e+11 1.12513e+11 1.25372e+11 9.05343e+10 9.63572e+10 1.05788e+11 7.09142e+10 1.18658e+11 8.14634e+10 1.31941e+11 9.22136e+10 1.26397e+11 6.09344e+10 1.41766e+11 9.06258e+10 1.80242e+11
7 1.44881e+11 1.59305e+11 1.02618e+11 9.3198e+10 9.23343e+10 1.00296e+11 1.03127e+11 7.13543e+10 1.08901e+11 9.92289e+10 1.35366e+11 7.33758e+10 1.28685e+11 1.11245e+11 1.10637e+11 8.38063e+10 1.65079e+11
8 1.22871e+11 1.23124e+11 6.59162e+10 8.44043e+10 1.29297e+11 1.07395e+11 1.00567e+11 6.36027e+10 1.25735e+11 9.88786e+10 1.0362e+11 6.80056e+10 1.29404e+11 1.10642e+11 1.08444e+11 7.83713e+10 1.93116e+11
9 1.14073e+11 1.39209e+11 7.48802e+10 8.20771e+10 2.26732e+11 8.50793e+10 9.53813e+10 6.73013e+10 1.24469e+11 1.45936e+11 1.37904e+11 6.32924e+10 1.04577e+11 1.39657e+11 1.09914e+11 1.19056e+11 1.94372e+11
10 1.0487e+11 1.6148e+11 7.51244e+10 1.39628e+11 2.66115e+11 7.59738e+10 7.4006e+10 9.21172e+10 1.40848e+11 8.98808e+10 1.44087e+11 6.45413e+10 1.21925e+11 1.52225e+11 1.13643e+11 1.37067e+11 1.83165e+11
