 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 1.48582e+11 4.68956e+10 1.89214e+11 1.61199e+11 1.1061e+11 1.69452e+11 2.05988e+11 2.17184e+11 1.92034e+11 1.19323e+11 1.85795e+11 1.81868e+11 1.55652e+11 1.34695e+11 8.95664e+10 2.10539e+11 1.20488e+11
2 8.46406e+10 2.55711e+10 1.32155e+11 1.10711e+11 6.38823e+10 1.1646e+11 1.24584e+11 1.51953e+11 1.20786e+11 4.16128e+10 1.17225e+11 1.00618e+11 1.03831e+11 2.97037e+10 3.91068e+10 1.11826e+11 4.72023e+10
3 9.54704e+10 3.40299e+10 1.32045e+11 1.05964e+11 1.83369e+10 9.18916e+10 1.13951e+11 1.39747e+11 9.3348e+10 3.07149e+10 1.1144e+11 7.7699e+10 4.82408e+10 3.29185e+10 3.70276e+10 8.5154e+10 6.11183e+10
4 9.01632e+10 3.07215e+10 1.2385e+11 1.12935e+11 3.08287e+10 6.41588e+10 1.00646e+11 1.63789e+11 7.54174e+10 3.33568e+10 1.21199e+11 7.13823e+10 3.61561e+10 3.12922e+10 4.02026e+10 8.3178e+10 5.3233e+10
5 9.07175e+10 3.4645e+10 1.18842e+11 1.23187e+11 3.32988e+10 6.48653e+10 1.23175e+11 1.13519e+11 4.64703e+10 3.36982e+10 1.20486e+11 6.25901e+10 4.44791e+10 2.9558e+10 3.71671e+10 8.06783e+10 6.9184e+10
6 8.55676e+10 3.08293e+10 9.41699e+10 9.31939e+10 4.11584e+10 6.91343e+10 1.20511e+11 7.99395e+10 3.97923e+10 2.43476e+10 8.92613e+10 4.89219e+10 4.44259e+10 3.71229e+10 3.52619e+10 8.04082e+10 6.0921e+10
7 8.48867e+10 3.62748e+10 1.0016e+11 6.90671e+10 2.87468e+10 7.37774e+10 9.86026e+10 9.29248e+10 4.45508e+10 6.01839e+10 7.76208e+10 5.21231e+10 5.56242e+10 4.52494e+10 3.53297e+10 7.65473e+10 6.84002e+10
8 8.62957e+10 3.8898e+10 4.66785e+10 6.43132e+10 3.47808e+10 6.12278e+10 1.02227e+11 7.5869e+10 4.18202e+10 4.79419e+10 6.4185e+10 5.29578e+10 5.86297e+10 4.99184e+10 3.66889e+10 7.74537e+10 6.82822e+10
9 7.5487e+10 4.14777e+10 6.21889e+10 6.56409e+10 3.09267e+10 4.8023e+10 1.01932e+11 7.93905e+10 3.80855e+10 2.11875e+10 6.3279e+10 5.44284e+10 4.91045e+10 4.89926e+10 3.92691e+10 8.26266e+10 5.91279e+10
10 7.586e+10 3.99507e+10 6.41947e+10 6.16452e+10 2.46542e+10 5.10987e+10 9.79567e+10 8.55332e+10 4.65211e+10 1.77302e+10 4.66218e+10 5.71297e+10 4.22139e+10 4.0341e+10 3.49499e+10 7.20586e+10 4.23815e+10
11 7.10087e+10 3.67573e+10 4.13204e+10 5.35209e+10 1.95675e+10 4.21483e+10 8.98259e+10 9.53991e+10 5.84124e+10 2.12489e+10 4.075e+10 5.81958e+10 4.65568e+10 2.56066e+10 3.76559e+10 3.92843e+10 3.84826e+10
12 8.03704e+10 2.97295e+10 1.67496e+10 6.50457e+10 2.84536e+10 4.17051e+10 1.01967e+11 9.07664e+10 5.88512e+10 2.2877e+10 5.65288e+10 5.87622e+10 4.90772e+10 2.63296e+10 3.48924e+10 3.24901e+10 4.00265e+10
13 7.42647e+10 3.42459e+10 2.07529e+10 6.72269e+10 3.04406e+10 4.58862e+10 7.8231e+10 9.23671e+10 5.2934e+10 2.68804e+10 6.43206e+10 5.67672e+10 4.59449e+10 2.70137e+10 3.84337e+10 2.3578e+10 3.63932e+10
14 6.98117e+10 3.19365e+10 2.32795e+10 7.10292e+10 2.1211e+10 4.05474e+10 8.50659e+10 9.18211e+10 5.55046e+10 2.39252e+10 7.34706e+10 4.83151e+10 4.83034e+10 3.94746e+10 2.48335e+10 2.13002e+10 4.7842e+10
15 8.18539e+10 3.47374e+10 2.93957e+10 7.23498e+10 2.82781e+10 3.75257e+10 9.50717e+10 8.30589e+10 4.06583e+10 2.50187e+10 6.27658e+10 4.64061e+10 4.60376e+10 5.46842e+10 5.74494e+10 4.4091e+10 4.96031e+10
16 8.81425e+10 3.24314e+10 3.41678e+10 7.43775e+10 5.3785e+10 3.3292e+10 8.85224e+10 5.31475e+10 4.25085e+10 2.30073e+10 4.49747e+10 5.22911e+10 4.27242e+10 6.10318e+10 4.50133e+10 5.57579e+10 4.6336e+10
17 8.3742e+10 3.26755e+10 1.8122e+10 7.9533e+10 3.67814e+10 3.22279e+10 1.06791e+11 3.03763e+10 4.27104e+10 2.20171e+10 4.53948e+10 5.96445e+10 3.97033e+10 6.16534e+10 3.97027e+10 6.22374e+10 4.38751e+10
