 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 2.78054e+11 4.20561e+11 4.25718e+11 3.26358e+11 2.66227e+11 5.34657e+11 4.66554e+11 2.82881e+11 4.42694e+11 6.43963e+11 5.18566e+11 4.75167e+11 4.51194e+11 3.64703e+11 4.67915e+11 5.44694e+11 4.55453e+11
2 1.57323e+11 2.76148e+11 3.30384e+11 2.23463e+11 4.31056e+10 3.8547e+11 3.09099e+11 1.41618e+11 3.70095e+11 4.80556e+11 4.63867e+11 3.23083e+11 3.47917e+11 2.1551e+11 3.47185e+11 3.9063e+11 2.9072e+11
3 1.59788e+11 2.07589e+11 3.02871e+11 2.39943e+11 6.06428e+10 3.18202e+11 2.38441e+11 1.0261e+11 3.4867e+11 3.91737e+11 4.37846e+11 2.8607e+11 2.4974e+11 2.30797e+11 3.13712e+11 3.35797e+11 1.89662e+11
4 1.62442e+11 9.97539e+10 2.79464e+11 2.38375e+11 8.21804e+10 2.17188e+11 2.2382e+11 9.56686e+10 3.00595e+11 2.49832e+11 4.2631e+11 2.58111e+11 1.57793e+11 1.98249e+11 2.77357e+11 1.89972e+11 2.07702e+11
5 1.1674e+11 7.86687e+10 2.54951e+11 2.34683e+11 9.01079e+10 2.15988e+11 2.38493e+11 9.93141e+10 2.539e+11 1.9078e+11 3.83592e+11 2.08685e+11 1.52206e+11 2.00418e+11 2.2312e+11 2.34257e+11 1.7172e+11
6 1.05295e+11 9.68643e+10 2.39707e+11 2.13091e+11 7.38257e+10 2.39357e+11 2.17672e+11 7.04808e+10 1.3941e+11 2.00994e+11 3.69433e+11 1.40767e+11 1.79798e+11 2.05026e+11 1.63623e+11 2.18207e+11 9.58115e+10
7 8.94331e+10 1.15873e+11 2.10834e+11 1.31226e+11 6.37784e+10 2.68397e+11 2.39724e+11 6.97059e+10 1.25262e+11 2.32431e+11 3.33331e+11 1.42286e+11 2.11615e+11 2.09032e+11 1.55326e+11 2.10616e+11 1.06931e+11
8 7.55484e+10 1.11996e+11 2.28757e+11 9.30076e+10 5.6488e+10 2.5494e+11 2.08461e+11 7.29461e+10 7.70315e+10 1.58065e+11 3.04871e+11 9.59875e+10 2.01814e+11 2.09583e+11 8.1912e+10 2.56851e+11 1.04204e+11
9 5.06589e+10 1.08215e+11 2.20866e+11 5.34732e+10 3.33691e+10 1.44359e+11 1.8847e+11 7.48826e+10 6.11288e+10 5.1868e+10 2.53574e+11 9.53801e+10 1.43661e+11 1.94618e+11 9.8909e+10 2.55014e+11 8.92297e+10
10 6.5694e+10 1.10151e+11 2.24531e+11 4.76138e+10 6.77811e+10 1.70973e+11 1.7829e+11 7.06844e+10 9.99269e+10 7.48096e+10 2.4584e+11 1.1653e+11 1.31796e+11 1.85908e+11 9.72326e+10 2.41087e+11 8.92699e+10
11 5.68617e+10 5.76713e+10 2.06532e+11 4.92174e+10 8.88664e+10 1.59916e+11 2.18343e+11 8.37601e+10 8.77659e+10 1.01246e+11 1.78069e+11 1.22298e+11 1.05354e+11 1.82739e+11 9.06296e+10 2.35648e+11 1.13816e+11
12 5.95437e+10 4.51756e+10 2.02664e+11 6.08956e+10 7.0929e+10 7.84311e+10 2.08727e+11 8.18719e+10 8.48037e+10 1.22285e+11 2.1492e+11 1.44068e+11 1.21161e+11 1.31959e+11 8.75446e+10 2.07444e+11 1.08276e+11
13 7.01291e+10 4.61512e+10 1.80405e+11 5.28933e+10 5.5177e+10 7.66334e+10 1.50589e+11 8.53319e+10 1.39622e+11 1.3214e+11 1.88489e+11 1.00526e+11 8.10662e+10 9.18879e+10 9.50632e+10 2.06872e+11 9.63933e+10
14 9.50791e+10 6.04781e+10 1.70877e+11 5.85752e+10 9.82567e+10 7.7526e+10 8.09511e+10 1.04023e+11 1.05145e+11 1.27648e+11 2.05534e+11 1.03007e+11 8.76069e+10 9.47397e+10 9.15423e+10 1.65664e+11 7.3254e+10
