 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 2.87316e+08 4.17925e+08 4.2421e+08 3.25886e+08 2.64811e+08 5.23393e+08 4.59683e+08 2.82794e+08 4.36053e+08 6.39997e+08 5.15495e+08 4.70828e+08 4.49831e+08 3.55469e+08 4.65404e+08 5.41499e+08 4.51386e+08
2 1.60456e+08 2.74675e+08 3.28411e+08 2.2326e+08 4.26169e+07 3.80216e+08 3.03444e+08 1.41741e+08 3.59358e+08 4.77391e+08 4.6021e+08 3.1879e+08 3.45993e+08 2.12401e+08 3.45961e+08 3.89064e+08 2.89178e+08
3 1.59991e+08 2.06391e+08 2.98807e+08 2.37694e+08 6.04703e+07 3.15113e+08 2.31455e+08 1.02617e+08 3.40292e+08 3.90141e+08 4.26303e+08 2.84898e+08 2.47514e+08 2.27612e+08 3.09481e+08 3.31306e+08 1.87575e+08
4 1.62317e+08 9.9055e+07 2.73179e+08 2.3474e+08 8.20455e+07 2.14934e+08 2.19659e+08 9.53851e+07 2.95121e+08 2.47403e+08 4.18444e+08 2.57508e+08 1.55969e+08 1.9668e+08 2.7552e+08 1.88622e+08 2.04485e+08
5 1.16317e+08 7.70216e+07 2.5107e+08 2.34118e+08 8.91614e+07 2.11987e+08 2.32449e+08 9.75016e+07 2.51716e+08 1.89704e+08 3.7801e+08 2.08202e+08 1.4965e+08 1.98851e+08 2.20685e+08 2.33756e+08 1.67545e+08
6 1.04871e+08 9.68548e+07 2.34295e+08 2.12879e+08 7.34079e+07 2.33755e+08 2.15249e+08 6.9549e+07 1.36166e+08 1.99379e+08 3.6295e+08 1.38244e+08 1.78866e+08 2.03676e+08 1.6075e+08 2.16521e+08 9.1666e+07
7 8.88112e+07 1.15818e+08 2.01479e+08 1.29712e+08 6.36753e+07 2.5536e+08 2.28213e+08 6.91889e+07 1.18678e+08 2.29815e+08 3.27268e+08 1.39354e+08 2.05378e+08 2.07511e+08 1.4951e+08 2.08194e+08 1.04026e+08
8 7.4768e+07 1.11973e+08 2.18377e+08 8.96228e+07 5.59127e+07 2.48106e+08 2.05977e+08 7.29766e+07 7.35441e+07 1.56135e+08 2.95066e+08 9.2897e+07 1.97175e+08 2.07601e+08 7.9468e+07 2.49572e+08 9.96992e+07
9 4.86872e+07 1.08209e+08 2.09846e+08 5.19705e+07 3.32321e+07 1.38014e+08 1.85683e+08 7.4951e+07 6.00747e+07 4.99813e+07 2.45974e+08 9.32207e+07 1.39317e+08 1.92683e+08 9.54561e+07 2.48477e+08 8.61237e+07
10 6.20617e+07 1.09223e+08 2.14719e+08 4.74851e+07 6.71382e+07 1.63542e+08 1.69882e+08 7.06849e+07 9.32522e+07 7.24847e+07 2.41211e+08 1.14064e+08 1.29956e+08 1.82524e+08 9.3694e+07 2.35109e+08 8.23052e+07
