 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 1.50452e+07 1.7261e+06 1.62685e+07 2.03141e+07 1.70563e+06 7.83614e+06 1.32842e+07 1.4332e+07 5.24345e+06 9.05358e+06 1.66681e+07 1.01892e+07 6.89125e+06 3.06898e+06 3.12111e+07 8.68294e+06 1.92789e+07
2 6.96928e+06 2.25642e+06 1.62723e+07 1.79745e+07 2.71332e+06 3.90337e+06 1.17777e+07 1.77231e+07 4.15891e+06 5.58899e+06 1.60591e+07 1.42914e+07 7.12879e+06 2.875e+06 6.01041e+06 5.42753e+06 8.46298e+06
3 5.43455e+06 4.75773e+06 1.38672e+07 2.18417e+07 3.21378e+06 3.92186e+06 1.27801e+07 1.86661e+07 7.29067e+06 1.88838e+06 1.88244e+07 1.78548e+07 6.36571e+06 4.5802e+06 9.91713e+06 7.08322e+06 3.92023e+06
4 5.85528e+06 1.27146e+07 1.21768e+07 1.87049e+07 4.4675e+06 5.25348e+06 1.77807e+07 1.0262e+07 1.03335e+07 3.0864e+06 1.63889e+07 1.19955e+07 9.85578e+06 5.17662e+06 1.12564e+07 1.36612e+07 2.35591e+06
5 7.51675e+06 9.99219e+06 1.45108e+07 1.2485e+07 9.22208e+06 6.82836e+06 1.74055e+07 5.32934e+06 1.15368e+07 4.11314e+06 1.10626e+07 7.64695e+06 1.9301e+07 7.37706e+06 9.94464e+06 1.55637e+07 4.49418e+06
6 5.48233e+06 1.73738e+07 1.61617e+07 8.70233e+06 8.07709e+06 3.68298e+06 1.19331e+07 4.7579e+06 1.23685e+07 4.75757e+06 6.63956e+06 9.45677e+06 2.06669e+07 3.12432e+07 9.38099e+06 7.90832e+06 5.34388e+06
7 4.92239e+06 6.45447e+06 1.49536e+07 9.20383e+06 8.6162e+06 1.04228e+07 1.49796e+07 5.72362e+06 1.2084e+07 7.31478e+06 6.21593e+06 1.21884e+07 2.08754e+07 5.90704e+07 8.9264e+06 9.92425e+06 5.34515e+06
8 8.18598e+06 3.00442e+06 1.64376e+07 1.21724e+07 1.93124e+07 8.52851e+06 1.18985e+07 7.08085e+06 2.16985e+07 3.40204e+07 7.75877e+06 1.48443e+07 2.07681e+07 5.60672e+07 9.45939e+06 9.15886e+06 9.64224e+06
9 1.48336e+07 7.07988e+06 1.33033e+07 1.37901e+07 1.70859e+07 2.15183e+07 1.1751e+07 8.25843e+06 3.11917e+07 4.19101e+07 1.64918e+07 1.61647e+07 2.39238e+07 3.24467e+07 1.10141e+07 4.58364e+06 1.07505e+07
10 1.36682e+07 7.80755e+06 1.81662e+07 1.86305e+07 2.11005e+07 2.9809e+07 1.32833e+07 1.03614e+07 2.94429e+07 4.49416e+07 1.49656e+07 1.66425e+07 2.6176e+07 1.81939e+07 1.80611e+07 8.57435e+06 2.10915e+07
