 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 8.66705e+09 1.4072e+09 1.89377e+10 3.01466e+10 2.54359e+09 7.53455e+09 1.35482e+10 2.09189e+10 4.97467e+09 1.87568e+09 1.17398e+10 7.30599e+09 6.29653e+09 1.6032e+09 3.18209e+09 9.57711e+09 7.88659e+08
2 6.1236e+09 1.76854e+09 1.58939e+10 2.31591e+10 2.11065e+09 4.36533e+09 1.03914e+10 2.85873e+10 2.99488e+09 1.72971e+09 8.56827e+09 4.53805e+09 5.00537e+09 1.41399e+09 2.2405e+09 5.25873e+09 1.26072e+09
3 4.66243e+09 2.31277e+09 1.7113e+10 1.99955e+10 1.12344e+09 4.39646e+09 1.11564e+10 3.42627e+10 2.27863e+09 1.00322e+09 9.80658e+09 2.62963e+09 3.47354e+09 1.18826e+09 1.85204e+09 5.2506e+09 1.56859e+09
4 4.94274e+09 3.77425e+09 1.47636e+10 1.3615e+10 2.38748e+09 4.07756e+09 1.50114e+10 1.09036e+10 1.83492e+09 1.51354e+09 1.00498e+10 3.05477e+09 5.73651e+09 1.03543e+09 1.86746e+09 7.27504e+09 1.37897e+09
5 6.46588e+09 4.91023e+09 1.07686e+10 6.1441e+09 2.21331e+09 4.34423e+09 6.92761e+09 6.84477e+09 2.05804e+09 1.82535e+09 7.7046e+09 2.48767e+09 8.93389e+09 2.84824e+08 2.28003e+09 7.39449e+09 1.87047e+09
6 6.45113e+09 7.70446e+09 1.27722e+10 5.80968e+09 3.1228e+09 4.96481e+09 8.35578e+09 7.25547e+09 4.49462e+09 1.59317e+09 5.08904e+09 3.49263e+09 9.15577e+09 5.6817e+09 3.0631e+09 6.78043e+09 3.2661e+09
7 7.57715e+09 4.85284e+09 8.97301e+09 6.16895e+09 3.73539e+09 4.47535e+09 8.99709e+09 6.99386e+09 4.79884e+09 2.3628e+09 4.56043e+09 5.86097e+09 8.79386e+09 1.21336e+10 4.58531e+09 7.83332e+09 3.90868e+09
8 7.41877e+09 4.18625e+09 6.3198e+09 6.64784e+09 7.71941e+09 3.95513e+09 5.88787e+09 1.23475e+10 9.26981e+09 1.00212e+10 5.0849e+09 7.5744e+09 1.00166e+10 9.54908e+09 6.04943e+09 6.66656e+09 5.20853e+09
9 8.62977e+09 4.65025e+09 3.70933e+09 1.02755e+10 7.37416e+09 6.13728e+09 6.05605e+09 1.24068e+10 1.06012e+10 1.84308e+10 6.00706e+09 8.16659e+09 9.94202e+09 5.79748e+09 6.36121e+09 3.93059e+09 5.79296e+09
10 9.39227e+09 7.41987e+09 5.137e+09 1.62408e+10 7.67443e+09 6.98011e+09 7.18849e+09 1.29227e+10 8.27174e+09 1.84668e+10 6.54524e+09 8.56601e+09 1.02898e+10 3.74953e+09 8.98174e+09 3.59162e+09 1.016e+10
11 1.39032e+10 1.08374e+10 5.36156e+09 2.24621e+10 7.41947e+09 9.08053e+09 9.3799e+09 9.11688e+09 5.81945e+09 1.66694e+10 9.12852e+09 5.65875e+09 1.13802e+10 5.54345e+09 1.12051e+10 3.33669e+09 9.63934e+09
12 1.35762e+10 1.41343e+10 1.14723e+10 2.24287e+10 1.3068e+10 1.17216e+10 8.5077e+09 1.31706e+10 6.83605e+09 1.53708e+10 8.28247e+09 5.03794e+09 1.25498e+10 7.1403e+09 9.65496e+09 3.37786e+09 1.0108e+10
13 1.3919e+10 1.07435e+10 1.15318e+10 2.0899e+10 1.61375e+10 1.30934e+10 1.09166e+10 1.32017e+10 1.08876e+10 1.33071e+10 5.29204e+09 4.14671e+09 1.26681e+10 4.38871e+09 6.73699e+09 1.93792e+09 1.35568e+10
14 1.52972e+10 1.12562e+10 1.42858e+10 1.96191e+10 1.22447e+10 1.35157e+10 1.4787e+10 1.34679e+10 9.0724e+09 1.38365e+10 3.83993e+09 4.21831e+09 1.0998e+10 4.47923e+09 7.62497e+09 2.89713e+09 7.31376e+09
15 1.31922e+10 1.02292e+10 1.28482e+10 1.94616e+10 1.32431e+10 1.51595e+10 1.71241e+10 1.18358e+10 1.25172e+10 1.4379e+10 2.98947e+09 7.78953e+09 6.77224e+09 6.11307e+09 1.39314e+10 9.92239e+09 6.19002e+09
16 1.25511e+10 9.185e+09 1.12423e+10 1.74564e+10 9.59634e+09 1.34481e+10 2.10393e+10 9.88919e+09 1.56114e+10 1.59184e+10 1.69062e+09 1.01196e+10 9.26824e+09 5.25558e+09 1.99453e+10 7.40683e+09 7.15702e+09
17 1.17835e+10 1.12449e+10 1.24494e+10 1.19667e+10 1.57453e+10 1.26353e+10 1.43321e+10 1.08994e+10 1.5889e+10 1.57463e+10 2.49269e+09 1.04601e+10 1.08623e+10 6.88751e+09 2.04092e+10 6.28459e+09 8.75678e+09
18 1.05673e+10 9.53142e+09 1.62595e+10 1.20454e+10 1.35099e+10 1.56829e+10 9.81066e+09 1.38409e+10 1.36599e+10 1.75501e+10 1.90321e+09 1.21523e+10 1.45593e+10 8.34989e+09 1.87044e+10 7.92006e+09 6.38545e+09
19 1.0829e+10 1.08148e+10 1.58211e+10 1.12901e+10 1.65078e+10 1.37193e+10 1.54324e+10 1.55005e+10 1.06751e+10 1.53514e+10 4.17742e+09 1.03754e+10 1.44562e+10 1.00789e+10 1.18323e+10 9.04107e+09 7.96645e+09
20 1.19494e+10 8.81333e+09 1.74383e+10 1.53643e+10 1.77872e+10 9.1225e+09 1.28696e+10 9.69345e+09 1.76086e+10 1.62055e+10 6.18079e+09 1.11943e+10 1.46417e+10 1.32672e+10 1.37026e+10 1.10028e+10 7.87716e+09
21 9.11835e+09 7.92257e+09 1.61103e+10 1.50973e+10 1.85579e+10 8.23509e+09 6.99811e+09 1.64733e+10 1.62235e+10 1.64599e+10 1.17283e+10 7.34121e+09 1.39402e+10 1.2184e+10 1.49334e+10 1.296e+10 1.27256e+10
22 1.34559e+10 8.43978e+09 1.38484e+10 1.7877e+10 1.57057e+10 6.49504e+09 8.93506e+09 1.74798e+10 1.86016e+10 1.77007e+10 1.3511e+10 7.58115e+09 1.31873e+10 7.19588e+09 7.61354e+09 1.31431e+10 1.19846e+10
23 1.58018e+10 1.02894e+10 1.86923e+10 1.77249e+10 9.36679e+09 8.33237e+09 9.23403e+09 1.54058e+10 1.64435e+10 1.77506e+10 1.49925e+10 9.17746e+09 1.15459e+10 7.8892e+09 8.14088e+09 1.32669e+10 1.00243e+10
24 1.37376e+10 8.18813e+09 1.86629e+10 1.2964e+10 1.42404e+10 6.87564e+09 7.98454e+09 1.35835e+10 1.33653e+10 1.83925e+10 1.64316e+10 1.29078e+10 1.30169e+10 1.33993e+10 1.07711e+10 1.13441e+10 1.08361e+10
25 1.37129e+10 1.04068e+10 1.47674e+10 7.39887e+09 1.23334e+10 1.03054e+10 1.26837e+10 1.33765e+10 1.4691e+10 1.75328e+10 1.67158e+10 1.17349e+10 9.91744e+09 1.54609e+10 1.48359e+10 9.38485e+09 1.60595e+10
26 1.20148e+10 6.49992e+09 1.54866e+10 9.16129e+09 1.34772e+10 1.56593e+10 1.33474e+10 1.35675e+10 1.45417e+10 1.64193e+10 1.41381e+10 1.4154e+10 1.05441e+10 1.22269e+10 1.2531e+10 1.2371e+10 1.67759e+10
27 1.18341e+10 6.38207e+09 1.75365e+10 1.38708e+10 1.42205e+10 1.23086e+10 1.59967e+10 1.64742e+10 1.51377e+10 1.59903e+10 1.61017e+10 1.21491e+10 1.03469e+10 1.5413e+10 1.07635e+10 1.38924e+10 1.47655e+10
28 2.0627e+10 8.33638e+09 1.29022e+10 1.49267e+10 1.48254e+10 1.20963e+10 1.36834e+10 1.60608e+10 1.28535e+10 1.50522e+10 1.19353e+10 9.68344e+09 7.39967e+09 1.87304e+10 1.26287e+10 1.27422e+10 9.46976e+09
29 1.68329e+10 9.94707e+09 1.41616e+10 1.14874e+10 1.48964e+10 1.60587e+10 1.25113e+10 1.7846e+10 1.7331e+10 1.74507e+10 1.17075e+10 1.26233e+10 1.01175e+10 1.54676e+10 1.73683e+10 5.43754e+09 1.37962e+10
30 1.19667e+10 1.03929e+10 1.51261e+10 1.10123e+10 1.08987e+10 1.67172e+10 7.85308e+09 1.79214e+10 1.73028e+10 1.49737e+10 1.65775e+10 9.14967e+09 9.37522e+09 1.99087e+10 1.94222e+10 5.27883e+09 7.00389e+09
31 1.05051e+10 1.06562e+10 1.53994e+10 7.94575e+09 1.20832e+10 1.4458e+10 1.17064e+10 1.84233e+10 1.72421e+10 1.32628e+10 1.06124e+10 1.18259e+10 1.02821e+10 1.78815e+10 2.03418e+10 4.07699e+09 1.3453e+10
32 8.01875e+09 1.03761e+10 1.51113e+10 8.63268e+09 1.58395e+10 1.45892e+10 1.19496e+10 1.46547e+10 1.26995e+10 1.56491e+10 1.05355e+10 9.16415e+09 1.24294e+10 1.86796e+10 1.78431e+10 5.62572e+09 1.28446e+10
33 1.07514e+10 1.17421e+10 1.52249e+10 1.54595e+10 1.49273e+10 1.12644e+10 9.30252e+09 1.28564e+10 1.66155e+10 1.72412e+10 1.01422e+10 9.92211e+09 1.04087e+10 1.9103e+10 1.45319e+10 9.05729e+09 1.22676e+10
34 6.9441e+09 1.27421e+10 1.45132e+10 1.05767e+10 1.50729e+10 1.15769e+10 8.03611e+09 1.17365e+10 2.03485e+10 1.1679e+10 8.31822e+09 1.09208e+10 1.0655e+10 1.91578e+10 2.06654e+10 1.29746e+10 1.20781e+10
35 1.07383e+10 1.18821e+10 1.08637e+10 1.19904e+10 1.02821e+10 1.07897e+10 8.90519e+09 9.47758e+09 2.37202e+10 1.45192e+10 7.90528e+09 1.16322e+10 1.09518e+10 1.60919e+10 1.74638e+10 1.43869e+10 1.39891e+10
36 1.43402e+10 1.27513e+10 1.03727e+10 1.59986e+10 1.06646e+10 1.22197e+10 8.89917e+09 1.04139e+10 2.17338e+10 1.42661e+10 1.08305e+10 1.28029e+10 1.46107e+10 1.60429e+10 1.70738e+10 1.4017e+10 1.17374e+10
37 1.52346e+10 1.56969e+10 1.1784e+10 1.73349e+10 1.36406e+10 1.40857e+10 1.36642e+10 1.0399e+10 1.17252e+10 1.33607e+10 1.55449e+10 1.29252e+10 1.51638e+10 1.75617e+10 1.6901e+10 1.23857e+10 1.30367e+10
38 1.52201e+10 1.18842e+10 1.20613e+10 1.98013e+10 1.49753e+10 1.31313e+10 1.45605e+10 1.20422e+10 1.14471e+10 1.36013e+10 1.37863e+10 1.6552e+10 9.45019e+09 2.10162e+10 1.40747e+10 1.0261e+10 1.52754e+10
39 1.88338e+10 1.02819e+10 1.30352e+10 1.8059e+10 1.43043e+10 1.51988e+10 1.11574e+10 1.40617e+10 1.14434e+10 1.41601e+10 1.07053e+10 1.03926e+10 1.04579e+10 2.00836e+10 1.95473e+10 1.27677e+10 1.13236e+10
40 2.09913e+10 9.21333e+09 1.64791e+10 1.65317e+10 1.28593e+10 1.20095e+10 9.76686e+09 1.17523e+10 1.48687e+10 1.80415e+10 1.0337e+10 8.00279e+09 7.45362e+09 1.91006e+10 1.94313e+10 1.21557e+10 1.00612e+10
41 1.75232e+10 1.20677e+10 1.89748e+10 1.46579e+10 1.65099e+10 1.20127e+10 7.58103e+09 1.16809e+10 1.51566e+10 1.96633e+10 8.66224e+09 5.52351e+09 9.79234e+09 1.59706e+10 2.06572e+10 1.24198e+10 1.15473e+10
42 1.9663e+10 1.729e+10 1.91386e+10 1.54824e+10 1.59345e+10 1.44509e+10 7.44144e+09 1.25583e+10 1.8241e+10 2.04058e+10 9.88534e+09 8.28527e+09 6.76338e+09 1.63335e+10 1.96106e+10 1.03721e+10 1.64859e+10
43 1.4894e+10 1.25876e+10 1.11041e+10 1.58302e+10 1.47186e+10 1.4224e+10 1.51792e+10 1.31822e+10 2.38212e+10 9.13228e+09 1.26161e+10 9.34845e+09 5.86543e+09 2.07731e+10 1.79574e+10 7.86248e+09 1.52032e+10
44 1.42804e+10 1.00536e+10 1.19181e+10 1.22595e+10 1.51753e+10 1.46268e+10 2.67977e+10 1.14817e+10 2.17642e+10 6.56245e+09 1.47668e+10 1.20685e+10 7.0372e+09 1.91103e+10 1.91988e+10 1.12403e+10 1.68919e+10
45 1.3793e+10 9.22761e+09 1.31309e+10 1.10429e+10 1.41424e+10 1.24975e+10 2.80574e+10 1.5256e+10 2.8311e+10 1.06034e+10 1.35944e+10 1.07309e+10 1.07051e+10 1.79493e+10 1.56102e+10 9.73549e+09 1.78823e+10
46 1.58659e+10 1.27877e+10 1.28751e+10 1.7195e+10 1.76237e+10 1.48233e+10 2.31802e+10 1.93794e+10 2.76156e+10 1.88002e+10 1.22766e+10 1.04937e+10 1.29675e+10 1.43786e+10 1.72432e+10 1.04266e+10 1.60961e+10
47 1.67551e+10 1.36494e+10 1.49456e+10 1.24591e+10 1.6846e+10 1.83581e+10 2.51015e+10 2.36107e+10 2.76579e+10 1.87705e+10 1.04714e+10 1.01483e+10 1.15785e+10 1.57132e+10 1.7504e+10 1.31431e+10 1.70474e+10
48 1.563e+10 1.34546e+10 1.26636e+10 1.16317e+10 1.39294e+10 1.68819e+10 2.63013e+10 2.19238e+10 2.31195e+10 1.82245e+10 8.29786e+09 1.32449e+10 1.2062e+10 1.43906e+10 1.40016e+10 1.10686e+10 1.14978e+10
49 1.37438e+10 1.17882e+10 1.55381e+10 1.56773e+10 7.41931e+09 1.4464e+10 1.74443e+10 2.26775e+10 2.42683e+10 2.39004e+10 5.90747e+09 1.29361e+10 1.21607e+10 1.36105e+10 1.45104e+10 8.87245e+09 1.0523e+10
50 8.08567e+09 1.08438e+10 2.00395e+10 1.22856e+10 8.43259e+09 1.39493e+10 1.4754e+10 2.82394e+10 2.17233e+10 1.67862e+10 8.82346e+09 1.04578e+10 1.22298e+10 1.21522e+10 1.37941e+10 7.70744e+09 1.07068e+10
51 8.34039e+09 1.06272e+10 1.16299e+10 1.62465e+10 1.14234e+10 1.33523e+10 1.92337e+10 2.66129e+10 1.53109e+10 1.19048e+10 9.51417e+09 9.60826e+09 1.1626e+10 1.56466e+10 1.94725e+10 7.68834e+09 1.21612e+10
52 1.03117e+10 1.14196e+10 1.34988e+10 1.27999e+10 1.27723e+10 1.52647e+10 2.62324e+10 2.44452e+10 1.80932e+10 1.25129e+10 1.18295e+10 7.75575e+09 1.42639e+10 1.57394e+10 1.71415e+10 6.83598e+09 1.29822e+10
53 1.36762e+10 1.27857e+10 1.35426e+10 1.33821e+10 8.15553e+09 1.46736e+10 2.64314e+10 2.05035e+10 1.79616e+10 1.04652e+10 1.27601e+10 9.81981e+09 1.51499e+10 1.28501e+10 2.08386e+10 1.147e+10 1.12928e+10
54 1.74849e+10 1.36925e+10 1.59241e+10 1.38963e+10 5.92138e+09 1.35649e+10 1.87988e+10 2.0609e+10 2.16042e+10 1.88133e+10 1.09725e+10 1.18209e+10 1.45825e+10 1.50042e+10 1.69755e+10 1.01721e+10 1.38389e+10
55 1.54429e+10 1.27188e+10 1.22806e+10 1.89575e+10 5.53255e+09 1.25372e+10 1.62591e+10 2.1229e+10 2.15425e+10 1.57139e+10 1.02143e+10 1.35044e+10 8.31274e+09 1.33021e+10 1.10522e+10 1.18592e+10 1.71513e+10
56 1.44008e+10 1.35775e+10 1.36613e+10 1.58217e+10 6.53774e+09 1.31445e+10 2.45819e+10 2.26484e+10 2.08438e+10 1.59856e+10 8.86168e+09 1.01521e+10 1.10783e+10 1.30232e+10 1.35755e+10 1.28495e+10 1.25693e+10
57 1.7567e+10 1.56509e+10 1.16298e+10 1.57896e+10 6.23169e+09 1.52413e+10 3.30801e+10 2.05977e+10 2.25819e+10 1.73992e+10 1.05149e+10 1.1159e+10 9.94564e+09 1.36831e+10 1.32562e+10 1.47184e+10 1.22793e+10
58 1.12112e+10 1.40717e+10 1.24863e+10 1.54349e+10 4.94896e+09 1.95433e+10 2.85706e+10 2.14338e+10 2.59051e+10 1.2111e+10 1.28545e+10 1.26179e+10 1.06778e+10 1.366e+10 1.34624e+10 1.22686e+10 1.33883e+10
59 9.4507e+09 1.37206e+10 1.6134e+10 2.10691e+10 6.01251e+09 1.0592e+10 2.92849e+10 2.20827e+10 2.43606e+10 1.37035e+10 1.94681e+10 1.43969e+10 1.23651e+10 1.66464e+10 1.19757e+10 8.43079e+09 1.15004e+10
60 1.63495e+10 1.78807e+10 1.64576e+10 1.80589e+10 1.02873e+10 1.83631e+10 3.58789e+10 2.75893e+10 2.05599e+10 1.76124e+10 1.59049e+10 1.22943e+10 9.73719e+09 1.44473e+10 1.39964e+10 1.19115e+10 1.19496e+10
61 1.944e+10 1.44263e+10 2.30709e+10 1.36332e+10 1.16541e+10 1.56731e+10 3.45809e+10 2.51408e+10 2.13267e+10 1.63466e+10 1.37683e+10 1.47141e+10 1.00331e+10 1.18593e+10 1.42465e+10 1.25665e+10 1.15499e+10
62 1.9971e+10 2.25258e+10 2.19215e+10 1.56795e+10 9.0303e+09 1.57748e+10 3.36555e+10 1.67024e+10 1.7649e+10 1.57774e+10 1.4545e+10 9.05112e+09 1.09271e+10 1.13502e+10 1.35725e+10 9.84762e+09 1.12227e+10
63 2.07217e+10 1.62445e+10 1.68814e+10 1.86205e+10 8.56445e+09 1.57076e+10 2.91021e+10 1.9874e+10 1.55455e+10 1.68849e+10 1.4863e+10 9.13646e+09 1.09174e+10 1.31191e+10 1.3247e+10 8.6704e+09 1.38963e+10
64 2.00995e+10 1.83362e+10 2.53772e+10 1.42376e+10 1.18686e+10 1.71804e+10 2.17084e+10 8.10871e+09 2.31708e+10 1.39344e+10 1.2895e+10 1.34827e+10 1.27816e+10 1.81727e+10 1.44486e+10 8.48727e+09 1.32824e+10
65 2.03961e+10 1.79359e+10 2.46438e+10 1.15665e+10 1.70098e+10 1.57821e+10 1.84733e+10 1.40841e+10 2.54423e+10 1.25883e+10 1.204e+10 1.29364e+10 1.16037e+10 1.30651e+10 1.68521e+10 8.39092e+09 1.1919e+10
66 2.52399e+10 1.52359e+10 1.88737e+10 1.32112e+10 1.50604e+10 1.20085e+10 1.77615e+10 2.0076e+10 2.48781e+10 1.97751e+10 1.52333e+10 1.38212e+10 1.68491e+10 1.18505e+10 1.8793e+10 1.08912e+10 1.01713e+10
67 2.20132e+10 1.82533e+10 1.56779e+10 1.24278e+10 1.22864e+10 1.14313e+10 1.72503e+10 2.106e+10 2.75972e+10 2.0589e+10 1.76862e+10 1.5848e+10 1.65277e+10 1.17452e+10 1.37152e+10 1.14988e+10 1.00347e+10
68 2.24655e+10 1.85167e+10 1.77028e+10 1.38917e+10 1.24264e+10 1.18129e+10 2.85959e+10 1.28842e+10 1.72116e+10 1.55835e+10 1.7751e+10 1.38017e+10 1.30494e+10 1.28612e+10 1.78201e+10 1.19677e+10 8.57342e+09
69 2.18452e+10 1.50086e+10 1.6928e+10 1.28595e+10 1.19421e+10 1.14487e+10 2.6784e+10 1.33788e+10 1.75188e+10 1.75429e+10 1.75864e+10 1.35242e+10 9.35535e+09 1.38344e+10 2.09896e+10 1.35371e+10 1.08836e+10
70 2.11489e+10 1.54502e+10 2.1069e+10 7.51274e+09 1.58205e+10 1.33916e+10 2.57731e+10 1.16617e+10 1.66063e+10 1.7048e+10 1.51837e+10 1.47277e+10 8.02554e+09 1.27496e+10 1.66004e+10 1.10005e+10 1.06267e+10
