 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 4.66389e+07 3.37898e+07 7.78326e+07 6.82734e+07 1.75079e+07 6.80786e+07 4.09752e+07 9.36513e+07 7.35117e+07 4.69687e+07 8.04564e+07 4.26336e+07 6.27941e+07 1.39392e+07 3.50404e+07 1.06661e+08 3.4154e+07
2 2.72263e+07 2.1727e+07 5.267e+07 5.5035e+07 8.78429e+06 5.42394e+07 2.73244e+07 7.49696e+07 4.39121e+07 3.36871e+07 5.85366e+07 3.99772e+07 4.66624e+07 1.47688e+07 2.77484e+07 6.49146e+07 2.73978e+07
3 2.33346e+07 1.7309e+07 5.08995e+07 4.51863e+07 3.17971e+07 4.30996e+07 2.84643e+07 6.44879e+07 3.30603e+07 2.3658e+07 5.83963e+07 3.11712e+07 3.34048e+07 1.61241e+07 2.03152e+07 3.44707e+07 1.85912e+07
4 3.34888e+07 2.35377e+07 4.77077e+07 3.70547e+07 2.93093e+07 3.41434e+07 2.85201e+07 5.32067e+07 3.10639e+07 2.52276e+07 4.1092e+07 2.7192e+07 3.2613e+07 1.76575e+07 2.11047e+07 2.84578e+07 1.94325e+07
5 3.01261e+07 2.43793e+07 4.18447e+07 3.09825e+07 1.74787e+07 3.06584e+07 3.19689e+07 3.81318e+07 3.03533e+07 2.54461e+07 3.97244e+07 2.34082e+07 3.83534e+07 2.15699e+07 2.11276e+07 1.99677e+07 1.76337e+07
6 3.16205e+07 1.83961e+07 3.40808e+07 2.76956e+07 2.33232e+07 3.71719e+07 3.90704e+07 4.09676e+07 3.23383e+07 3.4658e+07 3.87275e+07 2.68537e+07 4.52043e+07 2.18953e+07 2.31448e+07 2.02086e+07 2.22813e+07
7 3.80527e+07 1.30868e+07 3.09407e+07 2.84983e+07 3.43044e+07 3.50928e+07 2.78967e+07 3.37329e+07 2.43582e+07 4.21574e+07 4.02371e+07 3.52596e+07 4.06923e+07 1.88052e+07 2.7896e+07 2.29086e+07 2.25122e+07
8 3.75424e+07 1.80297e+07 2.7195e+07 2.55301e+07 3.8933e+07 3.00179e+07 3.33236e+07 4.0823e+07 2.91866e+07 4.48325e+07 3.172e+07 2.99628e+07 3.69609e+07 1.42286e+07 3.88284e+07 2.0752e+07 3.07534e+07
9 3.79256e+07 1.7747e+07 2.73341e+07 4.15168e+07 4.50057e+07 3.19792e+07 2.36615e+07 3.52896e+07 3.4349e+07 4.45965e+07 3.23387e+07 2.64781e+07 2.51619e+07 1.06195e+07 4.41975e+07 2.33518e+07 3.44314e+07
10 3.32231e+07 3.31793e+07 2.46203e+07 2.69212e+07 3.94884e+07 2.84267e+07 2.72588e+07 3.93178e+07 2.56688e+07 4.18241e+07 3.743e+07 3.01453e+07 2.80057e+07 1.46185e+07 4.4539e+07 2.11604e+07 3.00547e+07
11 2.94894e+07 3.82223e+07 2.6746e+07 3.3718e+07 4.60781e+07 2.17529e+07 2.1324e+07 3.33277e+07 2.06153e+07 3.44465e+07 3.73441e+07 2.06172e+07 2.96074e+07 2.19115e+07 4.25418e+07 2.14299e+07 1.38592e+07
12 2.0049e+07 3.56298e+07 2.22366e+07 3.16096e+07 5.79745e+07 2.59727e+07 2.62982e+07 2.9189e+07 2.39353e+07 3.94934e+07 3.57741e+07 3.0254e+07 3.94956e+07 1.757e+07 3.86824e+07 2.41505e+07 2.66467e+07
13 2.34092e+07 1.49211e+07 2.31161e+07 3.13976e+07 4.55949e+07 3.89982e+07 2.57262e+07 2.22197e+07 2.91335e+07 4.6667e+07 2.42867e+07 3.1862e+07 5.83594e+07 1.6983e+07 4.07664e+07 1.81477e+07 3.21915e+07
14 3.57674e+07 2.55128e+07 2.55678e+07 2.49231e+07 3.63144e+07 3.35593e+07 3.50303e+07 2.558e+07 3.34035e+07 4.4081e+07 2.26013e+07 3.55664e+07 5.01893e+07 2.33022e+07 2.49554e+07 2.02791e+07 2.82367e+07
15 2.27222e+07 1.51823e+07 3.51184e+07 4.87428e+07 4.43552e+07 3.44375e+07 2.95547e+07 3.06905e+07 2.90616e+07 4.33181e+07 2.84891e+07 2.45582e+07 3.2181e+07 2.82666e+07 3.35703e+07 2.12744e+07 1.5347e+07
16 4.34032e+07 1.91112e+07 3.35464e+07 5.69795e+07 6.70298e+07 4.26539e+07 2.8234e+07 2.06488e+07 3.30872e+07 5.34429e+07 2.30067e+07 2.58984e+07 4.37116e+07 2.68966e+07 3.20341e+07 1.80577e+07 2.09842e+07
