 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 4.37449e+07 3.27296e+07 7.41159e+07 6.52813e+07 1.63776e+07 6.21911e+07 3.61618e+07 9.09332e+07 6.2349e+07 4.55028e+07 7.35078e+07 4.02048e+07 5.58891e+07 1.27346e+07 3.44216e+07 9.84794e+07 3.27452e+07
2 2.5682e+07 2.14835e+07 5.08104e+07 5.26542e+07 8.21667e+06 4.95159e+07 2.4151e+07 7.24864e+07 3.97427e+07 3.24477e+07 5.43229e+07 3.65797e+07 4.14811e+07 1.39201e+07 2.70588e+07 5.97587e+07 2.58457e+07
3 2.31981e+07 1.65724e+07 4.89466e+07 4.16422e+07 2.66858e+07 3.8363e+07 2.57338e+07 6.19644e+07 3.00612e+07 2.27473e+07 5.52587e+07 3.0655e+07 2.88567e+07 1.55597e+07 1.94928e+07 2.94121e+07 1.60259e+07
4 3.219e+07 2.0025e+07 4.61764e+07 3.45695e+07 2.60515e+07 2.95122e+07 2.76352e+07 4.76866e+07 2.89607e+07 2.32121e+07 3.93885e+07 2.66308e+07 3.02994e+07 1.71144e+07 1.99037e+07 2.77381e+07 1.72452e+07
5 2.80035e+07 2.09454e+07 3.90799e+07 3.00637e+07 1.62026e+07 2.75983e+07 2.9737e+07 3.28801e+07 2.73776e+07 2.4172e+07 3.81653e+07 2.20308e+07 3.58863e+07 2.0858e+07 1.91212e+07 1.9461e+07 1.48123e+07
6 2.89056e+07 1.84126e+07 3.11624e+07 2.72751e+07 2.12303e+07 3.38729e+07 3.44863e+07 3.45015e+07 2.65634e+07 3.15998e+07 3.67551e+07 2.24349e+07 4.24309e+07 2.12219e+07 1.97394e+07 1.91948e+07 1.89659e+07
7 3.36134e+07 1.30978e+07 2.95233e+07 2.42758e+07 3.07558e+07 3.13758e+07 2.67746e+07 3.23089e+07 2.02618e+07 3.79361e+07 3.70502e+07 3.00614e+07 3.65286e+07 1.81888e+07 2.37659e+07 2.17327e+07 1.89765e+07
8 3.17857e+07 1.80465e+07 2.56347e+07 2.0797e+07 3.50032e+07 2.59003e+07 3.05285e+07 4.01199e+07 2.58595e+07 4.15212e+07 2.85098e+07 2.57516e+07 3.48538e+07 1.36842e+07 3.29285e+07 1.99346e+07 2.51658e+07
9 3.26884e+07 1.7752e+07 2.56968e+07 3.46136e+07 4.09879e+07 2.72009e+07 2.18903e+07 3.46305e+07 3.05471e+07 4.1789e+07 3.0162e+07 2.39521e+07 2.47429e+07 9.99916e+06 3.7808e+07 2.27577e+07 2.89742e+07
10 2.94532e+07 2.9175e+07 2.26646e+07 2.66834e+07 3.63892e+07 2.50196e+07 2.3723e+07 3.86359e+07 2.25964e+07 3.85621e+07 3.3681e+07 2.68404e+07 2.68115e+07 1.38773e+07 3.88552e+07 2.02243e+07 2.68943e+07
11 2.82491e+07 3.16767e+07 2.40019e+07 3.20453e+07 3.83895e+07 1.85985e+07 1.87444e+07 3.2271e+07 1.99244e+07 3.15935e+07 3.32994e+07 2.00176e+07 2.82506e+07 1.96297e+07 3.68625e+07 1.99985e+07 1.323e+07
12 1.98954e+07 2.95192e+07 2.12322e+07 3.06479e+07 4.78753e+07 2.32292e+07 2.20858e+07 2.84479e+07 2.22035e+07 3.65059e+07 3.14245e+07 2.74621e+07 3.55748e+07 1.6146e+07 3.25936e+07 2.23839e+07 2.33792e+07
