 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 0.706674 0.296219 0.504282 0.438944 0.498595 0.481954 0.546186 0.50533 0.688154 0.559949 0.538251 0.574487 0.587015 0.444973 0.782799 0.669552 0.831763
2 1.15934 0.468116 0.792755 0.584624 0.687358 0.697209 0.770471 0.690251 0.945853 0.872525 0.810612 0.769327 0.817947 0.593199 1.225 0.965817 1.41681
3 1.45329 0.647521 1.03814 0.738051 0.859107 0.876297 0.937973 0.842704 1.10844 1.07598 0.972264 0.960945 1.094 0.807779 1.43472 1.13757 1.81793
4 1.67135 0.917152 1.25009 0.888361 1.00151 1.06227 1.08426 1.00558 1.30529 1.15184 1.15687 1.16365 1.42817 1.03127 1.69996 1.29108 2.02843
5 1.93133 1.19036 1.48075 1.09044 1.18401 1.2415 1.32099 1.12541 1.52714 1.30644 1.42234 1.3579 1.74488 1.26958 1.99139 1.45362 2.27294
6 2.20237 1.51225 1.6888 1.32227 1.35143 1.41968 1.51661 1.25654 1.74655 1.45708 1.66633 1.52842 1.97861 1.38225 2.25354 1.6212 2.60623
7 2.47028 1.80683 1.87856 1.49461 1.52217 1.60514 1.70731 1.38849 1.94793 1.64057 1.91664 1.6641 2.21657 1.58796 2.45812 1.77617 2.91149
8 2.69749 2.03451 2.00045 1.65069 1.76126 1.80373 1.89328 1.5061 2.18044 1.82342 2.10825 1.78985 2.45586 1.79256 2.65865 1.92109 3.2686
9 2.90843 2.29193 2.13892 1.80246 2.18053 1.96106 2.06965 1.63055 2.4106 2.09328 2.36326 1.90689 2.64924 2.05081 2.8619 2.14125 3.62802
10 3.10235 2.59053 2.27784 2.06066 2.67262 2.10155 2.2065 1.80089 2.67105 2.25948 2.6297 2.02624 2.8747 2.3323 3.07205 2.39471 3.96673
11 3.26878 2.92112 2.48787 2.27367 3.1015 2.23741 2.3335 1.99619 2.91286 2.39975 2.86819 2.14402 3.09743 2.53328 3.23227 2.57623 4.25489
12 3.44408 3.20504 2.63136 2.43208 3.40396 2.36477 2.50098 2.15161 3.13722 2.5326 3.12337 2.27234 3.38398 2.70772 3.37046 2.80363 4.58549
13 3.60654 3.44585 2.77967 2.57877 3.64555 2.49311 2.68487 2.28751 3.32571 2.66955 3.41384 2.38908 3.62493 2.85174 3.54415 2.99204 4.98375
14 3.76122 3.63892 2.94423 2.72984 3.80218 2.59628 2.86859 2.45087 3.53906 2.80037 3.68513 2.51246 3.85581 3.01867 3.69048 3.19147 5.257
15 4.02484 3.79437 3.13299 2.87509 3.99852 2.69198 3.04355 2.60841 3.70351 2.91085 3.8964 2.60463 4.1365 3.24016 3.82989 3.41212 5.51789
16 4.26437 3.95046 3.36308 3.02286 4.2633 2.78484 3.19501 2.75433 3.87897 3.01921 4.07547 2.7179 4.40225 3.49199 3.95903 3.62593 5.76337
17 4.47977 4.0825 3.57019 3.17679 4.55648 2.88013 3.39442 2.89833 4.06608 3.12209 4.26308 2.86518 4.59136 3.73289 4.0803 3.87894 5.96051
18 4.68217 4.21028 3.69553 3.32992 4.83055 2.96588 3.57788 3.05806 4.19396 3.2089 4.55837 3.01086 4.7632 3.94929 4.23823 4.17155 6.15345
19 4.88845 4.35997 3.83276 3.46667 5.08268 3.0779 3.66035 3.23858 4.3471 3.29676 4.865 3.19154 4.92863 4.11263 4.39082 4.46019 6.3525
20 5.04079 4.50358 3.95905 3.58851 5.30043 3.17065 3.80788 3.50696 4.46728 3.38685 5.13626 3.32139 5.0907 4.24114 4.58052 4.70382 6.54509
21 5.21298 4.65111 4.09807 3.71415 5.48705 3.36224 3.92156 3.66355 4.5887 3.47194 5.35433 3.42913 5.30511 4.39974 4.74683 4.91191 6.73753
22 5.39568 4.79471 4.24643 3.83072 5.63585 3.54261 4.00092 3.79172 4.71477 3.5548 5.58337 3.55137 5.45831 4.57803 4.98517 5.09474 6.90794
23 5.54257 4.9273 4.35517 3.9583 5.87688 3.6912 4.09364 4.00422 4.8168 3.63347 5.80512 3.73565 5.57625 4.72958 5.18469 5.25248 7.04739
24 5.71493 5.09292 4.47132 4.1067 6.05106 3.91048 4.2365 4.20148 4.98731 3.71294 6.00048 3.88898 5.6936 4.89042 5.4249 5.44749 7.18107
25 5.93334 5.23046 4.59236 4.25108 6.20687 4.19507 4.43523 4.40449 5.15826 3.78822 6.18119 4.03787 5.8324 5.04945 5.61772 5.63925 7.31484
26 6.13141 5.36794 4.70791 4.40059 6.35322 4.38186 4.6063 4.59635 5.26009 3.85976 6.35874 4.14328 5.94859 5.21097 5.77119 5.82512 7.4216
27 6.449 5.54027 4.80164 4.57234 6.44502 4.55707 4.75752 4.78061 5.51773 3.92861 6.50747 4.30983 6.07837 5.33505 5.95214 5.99839 7.50145
