 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 0.147613 0.0465901 0.187981 0.160148 0.109889 0.168348 0.204645 0.215769 0.190782 0.118546 0.184584 0.180683 0.154638 0.133817 0.0889828 0.209167 0.119703
2 0.231702 0.0719946 0.319274 0.270138 0.173355 0.284049 0.328417 0.366733 0.310781 0.159887 0.301045 0.280646 0.257792 0.163327 0.127835 0.320265 0.166598
3 0.326551 0.105803 0.450459 0.375411 0.191572 0.375342 0.441625 0.505569 0.403521 0.190402 0.411759 0.357838 0.305718 0.196031 0.164621 0.404864 0.227318
4 0.416126 0.136324 0.573502 0.48761 0.2222 0.439083 0.541615 0.668291 0.478447 0.223542 0.532168 0.428755 0.341639 0.22712 0.204562 0.4875 0.280204
5 0.506253 0.170743 0.69157 0.609994 0.255282 0.503526 0.663987 0.78107 0.524614 0.25702 0.651869 0.490938 0.385828 0.256485 0.241487 0.567652 0.348937
6 0.591263 0.201372 0.785127 0.702581 0.296172 0.572209 0.783713 0.860489 0.564147 0.281209 0.740549 0.539541 0.429964 0.293366 0.276519 0.647537 0.409461
7 0.675596 0.23741 0.884634 0.771198 0.324732 0.645506 0.881674 0.952808 0.608408 0.341001 0.817664 0.591324 0.485226 0.338321 0.311618 0.723585 0.477416
8 0.76133 0.276055 0.931009 0.835092 0.359286 0.706335 0.983234 1.02818 0.649956 0.38863 0.881431 0.643937 0.543474 0.387914 0.348068 0.800534 0.545253
9 0.836325 0.317262 0.992792 0.900305 0.390011 0.754045 1.0845 1.10706 0.687793 0.40968 0.944297 0.698011 0.592258 0.436587 0.387081 0.882622 0.603996
10 0.911691 0.356953 1.05657 0.961549 0.414505 0.804811 1.18182 1.19203 0.734011 0.427295 0.990615 0.754768 0.634197 0.476665 0.421804 0.954211 0.646101
11 0.982237 0.39347 1.09762 1.01472 0.433945 0.846684 1.27106 1.28681 0.792043 0.448405 1.0311 0.812585 0.680451 0.502105 0.459214 0.99324 0.684333
12 1.06208 0.423006 1.11426 1.07934 0.462213 0.888118 1.37236 1.37698 0.85051 0.471133 1.08726 0.870964 0.729208 0.528263 0.493879 1.02552 0.724099
13 1.13586 0.457029 1.13488 1.14613 0.492455 0.933705 1.45009 1.46875 0.9031 0.497838 1.15116 0.927362 0.774853 0.555101 0.532062 1.04894 0.760255
14 1.20522 0.488757 1.15801 1.2167 0.513528 0.973988 1.5346 1.55997 0.958243 0.521608 1.22415 0.975362 0.822842 0.594318 0.556734 1.0701 0.807785
15 1.28654 0.523268 1.18721 1.28858 0.541622 1.01127 1.62905 1.64249 0.998636 0.546463 1.28651 1.02147 0.86858 0.648646 0.613809 1.11391 0.857065
16 1.37411 0.555489 1.22116 1.36247 0.595056 1.04434 1.71699 1.69529 1.04087 0.569321 1.33119 1.07342 0.911025 0.70928 0.658529 1.1693 0.903099
17 1.45731 0.587951 1.23916 1.44148 0.631598 1.07636 1.82309 1.72547 1.0833 0.591194 1.37629 1.13267 0.95047 0.770532 0.697973 1.23113 0.946688
18 1.53442 0.624432 1.2565 1.5131 0.667755 1.11499 1.91605 1.75807 1.12731 0.60675 1.42747 1.19266 0.989381 0.824944 0.738781 1.28442 0.991216
19 1.61074 0.666124 1.27654 1.57983 0.693936 1.16413 1.97166 1.79652 1.18343 0.623629 1.48142 1.25599 1.03062 0.867716 0.799349 1.33292 1.03586
20 1.68269 0.713913 1.2949 1.6393 0.716217 1.20618 2.03127 1.85613 1.2288 0.642182 1.52872 1.29731 1.07451 0.902747 0.854552 1.3749 1.07707
21 1.7585 0.758268 1.3139 1.69555 0.732756 1.247 2.06307 1.89648 1.27521 0.657333 1.57249 1.32682 1.11878 0.939465 0.896672 1.41009 1.11147
22 1.82516 0.797693 1.33382 1.75263 0.752935 1.30125 2.08938 1.93691 1.31108 0.670478 1.6066 1.36522 1.14701 0.994114 0.964056 1.44697 1.14539
23 1.88338 0.843 1.35096 1.80431 0.799489 1.35919 2.12527 1.98791 1.35192 0.684685 1.63607 1.41355 1.17838 1.04403 1.0278 1.48514 1.1794
24 1.94956 0.888827 1.36523 1.87584 0.833126 1.41526 2.1846 2.04019 1.4047 0.700128 1.65921 1.45818 1.19966 1.0887 1.07789 1.51963 1.21009
25 2.01235 0.929172 1.38462 1.92293 0.86483 1.46766 2.24723 2.09649 1.45246 0.711514 1.68386 1.50454 1.23144 1.12887 1.1099 1.5516 1.24157
26 2.08015 0.975792 1.40187 1.96773 0.894636 1.51148 2.31175 2.15114 1.49393 0.726735 1.71577 1.54018 1.25778 1.17093 1.13688 1.58205 1.27137
27 2.15081 1.03105 1.41722 2.01588 0.91579 1.5538 2.37515 2.2014 1.54139 0.73981 1.73821 1.58343 1.28195 1.20654 1.17475 1.61452 1.29885
28 2.2014 1.07092 1.43584 2.06322 0.935115 1.59552 2.44651 2.25117 1.59101 0.753359 1.76712 1.64034 1.32218 1.23243 1.21117 1.64793 1.33139
29 2.2498 1.11393 1.45477 2.11777 0.954422 1.62652 2.52154 2.30269 1.64133 0.77501 1.80307 1.68459 1.36584 1.26503 1.23634 1.67173 1.3676
30 2.31094 1.15447 1.47932 2.17095 0.973263 1.66554 2.61532 2.35435 1.68825 0.791765 1.84274 1.74031 1.40289 1.29447 1.26679 1.69455 1.41794
31 2.36808 1.19617 1.50386 2.23382 0.99728 1.70084 2.68985 2.40474 1.74253 0.806884 1.88622 1.78611 1.43946 1.32071 1.29622 1.72309 1.45565
32 2.44056 1.23598 1.52644 2.28273 1.01152 1.72812 2.74235 2.46502 1.79682 0.822504 1.92219 1.82872 1.48134 1.34118 1.3293 1.76691 1.49489
33 2.5035 1.27048 1.54524 2.33014 1.02306 1.7513 2.79254 2.53901 1.84371 0.839708 1.96817 1.8704 1.54033 1.36293 1.36636 1.80697 1.53092
34 2.56816 1.30032 1.56503 2.3756 1.03891 1.77249 2.82503 2.60819 1.88576 0.872558 2.01504 1.9116 1.57772 1.39049 1.3953 1.84256 1.56131
35 2.6288 1.33477 1.59675 2.427 1.05664 1.79185 2.85852 2.67919 1.9256 0.900435 2.06297 1.95188 1.61653 1.42218 1.42999 1.87434 1.58622
36 2.68914 1.36679 1.62648 2.46588 1.08244 1.81069 2.93146 2.75773 1.96599 0.925176 2.1109 1.9871 1.65242 1.45176 1.45871 1.89722 1.61099
37 2.74032 1.39195 1.65422 2.50011 1.09744 1.8263 3.00201 2.82851 2.01456 0.953861 2.16108 2.02199 1.68493 1.4727 1.48935 1.91466 1.63573
38 2.8 1.41093 1.6723 2.53229 1.12228 1.84551 3.05712 2.89482 2.07052 0.976774 2.21215 2.05928 1.71577 1.48982 1.5235 1.93903 1.6664
39 2.86822 1.43214 1.68836 2.55913 1.13909 1.86531 3.11644 2.93949 2.12672 0.991343 2.2751 2.09865 1.74952 1.50677 1.55044 1.96619 1.68932
40 2.91153 1.45881 1.70941 2.58737 1.15907 1.88574 3.16492 2.97731 2.18761 1.00746 2.3381 2.15185 1.80318 1.52884 1.5743 1.99303 1.71479
41 2.96425 1.48358 1.727 2.61961 1.18556 1.90638 3.20632 3.01025 2.24448 1.02623 2.39405 2.20215 1.84001 1.55455 1.59997 2.01461 1.74692
42 3.02798 1.51411 1.7496 2.64679 1.20915 1.92526 3.25788 3.05269 2.30516 1.04545 2.45041 2.25339 1.862 1.5747 1.61823 2.04084 1.77811
43 3.07622 1.53871 1.76887 2.68413 1.22867 1.94442 3.31723 3.09707 2.35242 1.07135 2.49729 2.30182 1.89155 1.59015 1.63685 2.07366 1.80003
44 3.11215 1.56931 1.78151 2.72126 1.24946 1.96491 3.36972 3.1438 2.39499 1.09867 2.53751 2.34528 1.93187 1.60327 1.66936 2.10859 1.81855
