 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 0.321445 0.486191 0.492153 0.377287 0.307772 0.618092 0.539361 0.327025 0.511777 0.744455 0.599489 0.549318 0.521603 0.421615 0.540934 0.629695 0.526527
2 0.503319 0.805432 0.874094 0.635623 0.357604 1.06372 0.896696 0.490743 0.939627 1.3 1.13574 0.922819 0.923814 0.670756 0.942297 1.08128 0.862615
3 0.688043 1.04542 1.22423 0.913009 0.42771 1.43157 1.17235 0.609365 1.34271 1.75287 1.64192 1.25353 1.21253 0.93757 1.30496 1.46948 1.08187
4 0.875834 1.16074 1.5473 1.18858 0.522715 1.68265 1.43109 0.719963 1.69021 2.04169 2.13475 1.55192 1.39494 1.16676 1.6256 1.6891 1.32199
5 1.01079 1.25168 1.84204 1.45989 0.626885 1.93235 1.7068 0.834775 1.98373 2.26224 2.57821 1.79317 1.5709 1.39845 1.88354 1.95991 1.52051
6 1.13252 1.36366 2.11915 1.70623 0.712231 2.20906 1.95845 0.916255 2.1449 2.4946 3.00529 1.95591 1.77876 1.63547 2.0727 2.21217 1.63127
7 1.23591 1.49762 2.36289 1.85794 0.785962 2.51934 2.23558 0.996838 2.28971 2.7633 3.39064 2.1204 2.0234 1.87712 2.25226 2.45566 1.75489
8 1.32324 1.62709 2.62734 1.96546 0.851265 2.81406 2.47657 1.08117 2.37876 2.94604 3.74308 2.23136 2.2567 2.11941 2.34696 2.75259 1.87535
9 1.38181 1.75219 2.88268 2.02728 0.889842 2.98095 2.69445 1.16774 2.44943 3.006 4.03623 2.34163 2.42278 2.3444 2.4613 3.0474 1.97851
10 1.45775 1.87953 3.14225 2.08232 0.9682 3.1786 2.90056 1.24945 2.56495 3.09248 4.32043 2.47634 2.57515 2.55932 2.57371 3.32611 2.08171
11 1.52349 1.9462 3.38101 2.13922 1.07093 3.36347 3.15298 1.34628 2.66641 3.20953 4.52629 2.61773 2.69694 2.77058 2.67848 3.59853 2.21328
