 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 0.345693 0.502839 0.5104 0.392099 0.318615 0.629736 0.553081 0.340252 0.524651 0.770032 0.620233 0.566491 0.541228 0.427694 0.559964 0.651521 0.543098
2 0.538751 0.833322 0.905538 0.660722 0.369891 1.0872 0.918179 0.510792 0.957023 1.34442 1.17395 0.950053 0.95752 0.68325 0.976217 1.11963 0.891032
3 0.731248 1.08165 1.26506 0.946711 0.442648 1.46634 1.19666 0.634259 1.36646 1.81383 1.68687 1.29284 1.25532 0.957108 1.34858 1.51825 1.11672
4 0.926545 1.20083 1.59374 1.22914 0.541363 1.72495 1.46095 0.749025 1.72154 2.1115 2.19033 1.60266 1.44298 1.19375 1.68008 1.7452 1.36275
5 1.0665 1.2935 1.89582 1.51083 0.64864 1.98 1.74063 0.866337 2.0244 2.33975 2.64514 1.85317 1.62304 1.433 1.9456 2.02645 1.56434
6 1.19267 1.41003 2.17772 1.76696 0.736963 2.26125 1.99961 0.950016 2.18823 2.57964 3.08184 2.0195 1.83825 1.67806 2.13901 2.28697 1.67463
7 1.29953 1.54938 2.42014 1.92303 0.813576 2.5685 2.27419 1.03326 2.33102 2.85615 3.4756 2.18717 2.08535 1.92773 2.3189 2.53746 1.79979
8 1.38949 1.68411 2.68288 2.03086 0.880849 2.86701 2.52202 1.12107 2.41951 3.044 3.83062 2.29894 2.32259 2.17752 2.41452 2.83774 1.91974
9 1.44807 1.8143 2.93537 2.09339 0.920833 3.03307 2.74543 1.21125 2.49179 3.10414 4.12657 2.4111 2.49021 2.40935 2.52937 3.1367 2.02337
10 1.52274 1.94572 3.19371 2.15052 1.00161 3.22984 2.94983 1.29629 2.60399 3.19135 4.41679 2.54834 2.64657 2.62896 2.6421 3.41958 2.12239
11 1.59068 2.0137 3.43086 2.20963 1.10832 3.41556 3.19269 1.39704 2.70913 3.30761 4.62488 2.69491 2.77042 2.84199 2.74732 3.69655 2.24759
12 1.66242 2.06737 3.65922 2.2812 1.19356 3.50898 3.43229 1.49525 2.81061 3.44765 4.87487 2.86143 2.91433 2.99522 2.84799 3.94193 2.37234
13 1.74684 2.12283 3.86649 2.3447 1.25983 3.59895 3.60375 1.59781 2.96627 3.60098 5.10024 2.98094 3.01168 3.10531 2.95805 4.18553 2.48452
14 1.85486 2.19529 4.05269 2.41499 1.37763 3.68518 3.6968 1.71772 3.08669 3.74509 5.34602 3.10298 3.11626 3.21778 3.06055 4.37858 2.57263
15 1.97091 2.25335 4.25801 2.50189 1.53152 3.7472 3.81862 1.84909 3.13691 3.87692 5.5726 3.23754 3.19658 3.32469 3.13022 4.55122 2.67226
16 2.06248 2.327 4.45796 2.60235 1.63758 3.82142 3.96636 1.96416 3.2231 4.00762 5.82938 3.37572 3.24048 3.44596 3.22438 4.7665 2.77579
17 2.16068 2.4001 4.60438 2.70284 1.72945 3.91375 4.1377 2.07376 3.33007 4.13879 6.10362 3.52116 3.28693 3.54869 3.32688 4.93398 2.91017
18 2.26054 2.48607 4.75443 2.79992 1.80183 4.02518 4.30371 2.17145 3.45511 4.23837 6.37011 3.64973 3.34314 3.66739 3.44813 5.10271 3.02108
