 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 0.0278211 0.00319185 0.0300833 0.0375643 0.00315401 0.0144904 0.0245647 0.0265024 0.00969604 0.0167416 0.0308221 0.0188416 0.0127431 0.00567507 0.0577146 0.0160562 0.03565
2 0.0407085 0.00736435 0.0601736 0.0708021 0.0081714 0.0217084 0.0463438 0.0592755 0.0173866 0.0270766 0.0605181 0.0452688 0.0259255 0.0109914 0.0688289 0.0260927 0.0512995
3 0.0507579 0.0161622 0.0858164 0.111191 0.0141142 0.0289606 0.0699763 0.0937924 0.0308683 0.0305686 0.0953276 0.0782854 0.0376967 0.019461 0.0871674 0.0391908 0.0585487
4 0.0615854 0.0396737 0.108333 0.14578 0.0223754 0.0386752 0.102856 0.112769 0.0499768 0.0362759 0.125633 0.100467 0.0559218 0.0290335 0.107982 0.0644527 0.0629052
5 0.0754851 0.058151 0.135166 0.168867 0.0394286 0.051302 0.135042 0.122623 0.0713104 0.0438818 0.14609 0.114608 0.0916126 0.0426749 0.126372 0.0932326 0.0712157
6 0.0856229 0.0902781 0.165052 0.184959 0.0543646 0.0581124 0.157108 0.131422 0.0941819 0.0526793 0.158368 0.132095 0.129829 0.100449 0.143719 0.107856 0.0810974
7 0.0947252 0.102214 0.192704 0.201978 0.0702974 0.077386 0.184808 0.142006 0.116527 0.0662056 0.169862 0.154633 0.168431 0.20968 0.160225 0.126208 0.0909815
8 0.109863 0.107769 0.2231 0.224487 0.106009 0.0931566 0.20681 0.155099 0.156652 0.129115 0.184209 0.182083 0.206835 0.313358 0.177717 0.143144 0.108812
9 0.137292 0.120861 0.2477 0.249987 0.137604 0.132948 0.22854 0.17037 0.21433 0.206614 0.214706 0.211974 0.251075 0.373358 0.198084 0.15162 0.128691
10 0.162567 0.135299 0.281292 0.284438 0.176623 0.18807 0.253103 0.18953 0.268775 0.289719 0.242379 0.242749 0.299478 0.407001 0.231482 0.167476 0.167693
11 0.196699 0.179585 0.314901 0.336008 0.219825 0.242345 0.279412 0.210044 0.312322 0.363913 0.280353 0.261122 0.351931 0.444296 0.280493 0.187275 0.20816
12 0.241066 0.236022 0.389678 0.37743 0.295577 0.303872 0.311763 0.232617 0.350557 0.430949 0.328371 0.280512 0.42672 0.476126 0.316131 0.202956 0.240264
13 0.281932 0.286131 0.444398 0.409259 0.386139 0.37598 0.35802 0.255741 0.420642 0.492558 0.355752 0.301108 0.506228 0.497602 0.346206 0.226499 0.293177
14 0.345982 0.332229 0.515281 0.435579 0.45736 0.431168 0.41728 0.289743 0.472631 0.556868 0.363884 0.320375 0.590137 0.517544 0.371892 0.251627 0.33095
15 0.39188 0.393653 0.598773 0.470729 0.573354 0.481226 0.482868 0.321162 0.546566 0.619458 0.37163 0.357641 0.636557 0.54122 0.423024 0.281965 0.36624
16 0.424916 0.429117 0.648743 0.494888 0.623155 0.51086 0.539792 0.350844 0.631051 0.675362 0.379024 0.396548 0.682905 0.56218 0.484521 0.319609 0.391667
17 0.454092 0.503986 0.727014 0.525305 0.691169 0.545433 0.609997 0.392414 0.703649 0.741245 0.390305 0.454131 0.773776 0.602413 0.559684 0.348292 0.43101
18 0.493941 0.565876 0.819885 0.566874 0.767462 0.59778 0.644856 0.439886 0.774161 0.816175 0.399944 0.514592 0.863262 0.648415 0.642347 0.377929 0.465739
19 0.521201 0.60357 0.920191 0.600499 0.853304 0.660603 0.702225 0.504527 0.837014 0.882913 0.418799 0.577167 0.948031 0.702005 0.691972 0.409403 0.510298
20 0.557695 0.629832 1.03202 0.636972 0.953725 0.697388 0.757186 0.545499 0.917136 0.951845 0.459803 0.638929 1.01662 0.776159 0.74133 0.454731 0.554936
21 0.588845 0.664955 1.13834 0.672595 1.06254 0.727878 0.804196 0.607768 1.01448 1.0095 0.532184 0.680712 1.08634 0.838139 0.822838 0.521205 0.617257
22 0.649398 0.707122 1.23019 0.713662 1.17128 0.746733 0.87258 0.68342 1.08497 1.07332 0.608368 0.730929 1.15976 0.886852 0.860649 0.585003 0.668223
23 0.719199 0.762861 1.31112 0.750965 1.21796 0.789008 0.937193 0.72636 1.17766 1.13671 0.700066 0.77875 1.22844 0.94256 0.904032 0.655873 0.719397
24 0.779091 0.785894 1.37995 0.796976 1.27614 0.831428 0.986311 0.769037 1.26179 1.21244 0.77675 0.851943 1.30956 1.01913 0.945938 0.715416 0.770516
25 0.839187 0.823386 1.45674 0.82588 1.34079 0.898708 1.02474 0.812491 1.32679 1.27054 0.851467 0.933394 1.36098 1.1219 1.0105 0.788869 0.859254
26 0.907531 0.850006 1.52517 0.863595 1.41061 1.01433 1.09814 0.843313 1.40195 1.33945 0.914406 1.02176 1.42059 1.1903 1.07108 0.837426 0.95927
27 0.964024 0.869526 1.62547 0.921324 1.49304 1.10073 1.16598 0.882911 1.44631 1.39002 0.985035 1.07253 1.48499 1.2786 1.10975 0.918986 1.06792
28 1.04951 0.898951 1.70599 0.973978 1.57492 1.14815 1.24866 0.91735 1.48734 1.45175 1.04081 1.11025 1.53415 1.37263 1.16232 0.988068 1.12788
29 1.12752 0.957194 1.77196 1.0103 1.6656 1.21029 1.29498 0.951379 1.57316 1.51451 1.07368 1.17147 1.57689 1.46122 1.2493 1.02287 1.19793
30 1.20084 1.00439 1.86588 1.05007 1.72267 1.32723 1.34441 0.988181 1.6466 1.56676 1.14098 1.21883 1.62617 1.57601 1.34725 1.05531 1.25093
31 1.25691 1.05715 1.94483 1.08815 1.77414 1.41118 1.39542 1.01639 1.76116 1.61052 1.19192 1.29256 1.68364 1.6578 1.46092 1.09278 1.30896
32 1.30901 1.09804 2.03049 1.12759 1.84611 1.51063 1.46783 1.05411 1.83755 1.66653 1.25212 1.33811 1.76198 1.76229 1.54985 1.1115 1.38445
33 1.38028 1.14108 2.12152 1.21921 1.91591 1.6045 1.51048 1.09435 1.92536 1.73772 1.31298 1.39119 1.83923 1.86788 1.62226 1.15958 1.4471
34 1.41739 1.18505 2.19143 1.28542 1.99783 1.68952 1.55378 1.12693 2.04389 1.78076 1.36602 1.44351 1.87685 1.98609 1.71461 1.2274 1.49102
35 1.46539 1.24656 2.23877 1.33319 2.03363 1.78658 1.58432 1.15657 2.21877 1.82352 1.40086 1.51635 1.92991 2.08665 1.786 1.30744 1.54545
36 1.53643 1.31978 2.27785 1.41408 2.07692 1.86158 1.62217 1.194 2.35314 1.87945 1.45438 1.6123 1.98639 2.18288 1.87405 1.40168 1.6069
37 1.61461 1.38996 2.32128 1.49424 2.12835 1.93843 1.671 1.22041 2.45766 1.92179 1.52866 1.66377 2.04509 2.29806 1.94022 1.48795 1.6662
38 1.66875 1.45586 2.38104 1.60269 2.2109 2.013 1.75245 1.25842 2.53441 1.98043 1.59239 1.73503 2.10684 2.42696 2.01731 1.54613 1.74436
39 1.73989 1.50896 2.46177 1.69245 2.28056 2.07893 1.80458 1.30742 2.62898 2.03067 1.65203 1.82081 2.16962 2.57581 2.09837 1.62767 1.80085
40 1.81541 1.541 2.52895 1.75929 2.35461 2.14135 1.84479 1.36444 2.69131 2.09836 1.71036 1.88063 2.20844 2.73228 2.17208 1.71023 1.84847
41 1.88281 1.57048 2.61677 1.82508 2.44186 2.1872 1.86859 1.41452 2.74853 2.1926 1.74563 1.93891 2.24359 2.86166 2.24605 1.79846 1.9084
42 1.98107 1.64054 2.69484 1.88146 2.54991 2.2583 1.90214 1.46612 2.82708 2.31261 1.80959 2.01547 2.28484 2.95409 2.32 1.84206 1.98106
43 2.07009 1.68067 2.73604 1.95939 2.65153 2.33072 1.95393 1.53831 2.92758 2.36408 1.8646 2.10256 2.31758 3.0788 2.37862 1.8889 2.05454
44 2.17469 1.72315 2.78256 2.02303 2.72648 2.3963 2.04266 1.58204 3.03007 2.39348 1.92683 2.19179 2.35333 3.17519 2.47072 1.96495 2.12654
45 2.26094 1.76395 2.83777 2.09162 2.802 2.44655 2.15582 1.64316 3.17383 2.44236 1.98524 2.26527 2.40157 3.27364 2.5572 2.02345 2.18896
46 2.31747 1.80253 2.88752 2.20028 2.88347 2.51943 2.24226 1.69406 3.29781 2.52616 2.0294 2.32075 2.43326 3.3541 2.6362 2.08121 2.2729
47 2.38424 1.84615 2.93057 2.26133 2.98172 2.59894 2.35674 1.74501 3.43306 2.62617 2.09993 2.35892 2.46426 3.41692 2.73329 2.17207 2.35287
48 2.47263 1.88616 2.98017 2.3391 3.09088 2.67864 2.44592 1.7904 3.52793 2.68172 2.17288 2.41892 2.51039 3.476 2.78242 2.23999 2.41246
49 2.5575 1.9226 3.04756 2.4298 3.15031 2.73751 2.53113 1.84103 3.61765 2.77021 2.21067 2.50269 2.54993 3.53183 2.8327 2.28116 2.46004
50 2.59483 1.96055 3.12617 2.48236 3.19429 2.79685 2.60526 1.90678 3.7369 2.84298 2.26026 2.57583 2.59854 3.59687 2.88024 2.32425 2.51757
51 2.62671 1.9956 3.18209 2.55019 3.24644 2.85984 2.67359 1.98075 3.84905 2.89651 2.30458 2.63585 2.64175 3.68595 2.95632 2.3638 2.56858
52 2.68607 2.03475 3.22615 2.59838 3.3065 2.91384 2.77719 2.03494 4.00121 2.94545 2.34603 2.68726 2.70798 3.77778 3.03631 2.4068 2.6175
53 2.75136 2.06965 3.28878 2.66012 3.34751 2.9878 2.9215 2.07327 4.09031 2.99952 2.42334 2.73883 2.78137 3.86356 3.12335 2.46307 2.67387
54 2.81564 2.10757 3.38101 2.71335 3.37789 3.03008 3.03563 2.10853 4.17051 3.10192 2.49665 2.81461 2.86218 3.98554 3.2046 2.53239 2.74273
55 2.86494 2.14643 3.46314 2.81321 3.40243 3.06913 3.15123 2.1655 4.2311 3.15943 2.54774 2.89227 2.9307 4.06892 3.24328 2.60091 2.83839
56 2.91747 2.17928 3.53959 2.88294 3.43842 3.10118 3.25399 2.21891 4.30304 3.21124 2.59723 2.94878 2.96216 4.15877 3.30441 2.68591 2.92122
57 3.00037 2.21964 3.58046 2.93753 3.47775 3.14315 3.34686 2.2701 4.36198 3.27286 2.64018 2.99558 3.00286 4.23974 3.36591 2.77808 2.97897
58 3.10801 2.27044 3.61835 3.00566 3.51677 3.21346 3.4667 2.32452 4.443 3.32665 2.69468 3.04454 3.04032 4.33703 3.41927 2.86088 3.04021
59 3.18754 2.31062 3.68574 3.06458 3.54793 3.27434 3.59323 2.38186 4.54387 3.38278 2.77416 3.10556 3.09151 4.44388 3.47371 2.92324 3.09614
60 3.23604 2.3643 3.74278 3.11536 3.58854 3.36894 3.7206 2.46503 4.62943 3.45552 2.81907 3.16724 3.15133 4.53137 3.53323 2.99552 3.15453
61 3.30572 2.4179 3.82927 3.16439 3.64327 3.45092 3.82142 2.52973 4.73001 3.52849 2.85635 3.24891 3.20155 4.58341 3.58258 3.06779 3.23007
62 3.3756 2.48739 3.91986 3.23593 3.69632 3.53499 3.91467 2.57241 4.81749 3.61156 2.88969 3.31737 3.23272 4.62043 3.63362 3.11631 3.29085
63 3.44268 2.54799 3.98513 3.32445 3.73955 3.61902 4.01898 2.62997 4.90092 3.68256 2.93244 3.37025 3.26331 4.67002 3.68129 3.1593 3.34824
64 3.50869 2.63562 4.07738 3.39464 3.78075 3.66802 4.11302 2.6642 4.9842 3.75651 2.97068 3.43516 3.30846 4.74567 3.75505 3.1781 3.39739
65 3.58906 2.72022 4.18768 3.45266 3.85787 3.75198 4.21115 2.6888 5.08063 3.80111 3.00781 3.50837 3.34851 4.81799 3.82728 3.22786 3.45429
66 3.6755 2.77167 4.27277 3.50085 3.94563 3.8037 4.32069 2.72101 5.1947 3.8872 3.05244 3.56737 3.43871 4.87368 3.90328 3.29066 3.49835
