 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 0.00861058 0.00139803 0.0188143 0.0299501 0.00252701 0.00748545 0.0134599 0.0207826 0.00494226 0.00186346 0.0116633 0.00725839 0.0062555 0.00159276 0.00316136 0.0095147 0.00078352
2 0.0146943 0.00315504 0.0346047 0.0529583 0.00462391 0.0118223 0.0237836 0.0491836 0.00791763 0.0035819 0.0201758 0.0117669 0.0112283 0.00299753 0.00538726 0.0147392 0.00203603
3 0.0193263 0.00545274 0.0516062 0.0728235 0.00574003 0.0161902 0.0348673 0.0832231 0.0101814 0.00457858 0.0299185 0.0143794 0.0146792 0.00417804 0.00722724 0.0199556 0.0035944
4 0.0242369 0.0092024 0.0662735 0.0863498 0.00811196 0.0202411 0.0497808 0.0940557 0.0120044 0.00608226 0.0399028 0.0174142 0.0203783 0.00520672 0.00908253 0.0271832 0.00496439
5 0.0306606 0.0140806 0.076972 0.0924538 0.0103108 0.0245571 0.0566633 0.100856 0.014049 0.00789572 0.0475572 0.0198857 0.029254 0.00548969 0.0113477 0.0345295 0.00682267
6 0.0370697 0.0217349 0.089661 0.0982257 0.0134133 0.0294895 0.0649646 0.108064 0.0185143 0.00947851 0.0526131 0.0233556 0.0383501 0.0111344 0.0143908 0.0412658 0.0100675
7 0.0445975 0.0265561 0.0985755 0.104354 0.0171243 0.0339357 0.0739031 0.115012 0.0232819 0.0118259 0.0571438 0.0291783 0.0470867 0.0231889 0.0189463 0.049048 0.0139507
8 0.0519679 0.0307151 0.104854 0.110959 0.0247935 0.0378651 0.0797526 0.127279 0.0324913 0.0217818 0.0621955 0.0367034 0.057038 0.0326757 0.0249563 0.0556712 0.0191253
9 0.0605414 0.035335 0.108539 0.121167 0.0321196 0.0439624 0.0857692 0.139605 0.0430235 0.0400925 0.0681634 0.0448168 0.0669152 0.0384354 0.031276 0.0595761 0.0248805
10 0.0698725 0.0427066 0.113643 0.137302 0.039744 0.050897 0.0929109 0.152444 0.0512413 0.058439 0.074666 0.053327 0.077138 0.0421605 0.0401993 0.0631443 0.0349743
11 0.0836852 0.0534734 0.118969 0.159618 0.0471151 0.0599184 0.10223 0.161501 0.0570228 0.0749998 0.0837351 0.0589488 0.0884441 0.0476679 0.0513314 0.0664593 0.0445509
12 0.097173 0.0675155 0.130367 0.181901 0.060098 0.0715636 0.110682 0.174586 0.0638143 0.0902704 0.0919636 0.063954 0.100912 0.0547616 0.0609234 0.0698151 0.054593
13 0.111001 0.078189 0.141824 0.202664 0.0761304 0.0845717 0.121527 0.187702 0.074631 0.103491 0.0972211 0.0680736 0.113498 0.0591218 0.0676165 0.0717404 0.0680615
14 0.126199 0.0893719 0.156016 0.222155 0.0882953 0.0979994 0.136218 0.201082 0.0836442 0.117237 0.101036 0.0722645 0.124424 0.0635718 0.0751918 0.0746187 0.0753276
15 0.139305 0.0995344 0.168781 0.24149 0.101452 0.11306 0.153231 0.212841 0.0960799 0.131523 0.104006 0.0800033 0.131152 0.069645 0.0890325 0.0844764 0.0814772
16 0.151774 0.10866 0.17995 0.258832 0.110986 0.126421 0.174133 0.222665 0.11159 0.147337 0.105686 0.0900569 0.14036 0.0748664 0.108848 0.091835 0.0885876
17 0.163481 0.119831 0.192318 0.270721 0.126629 0.138974 0.188371 0.233494 0.127375 0.162981 0.108162 0.100449 0.151151 0.081709 0.129124 0.0980786 0.0972873
18 0.173979 0.129301 0.208472 0.282688 0.14005 0.154554 0.198118 0.247244 0.140946 0.180417 0.110053 0.112522 0.165616 0.0900045 0.147706 0.105947 0.103631
19 0.184738 0.140045 0.22419 0.293904 0.156451 0.168184 0.21345 0.262644 0.151551 0.195668 0.114203 0.12283 0.179978 0.100018 0.159462 0.114929 0.111546
20 0.196609 0.148801 0.241515 0.309169 0.174122 0.177247 0.226236 0.272274 0.169045 0.211768 0.120344 0.133951 0.194524 0.113199 0.173075 0.12586 0.119372
