 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 0.053917 0.0390628 0.0899786 0.0789277 0.02024 0.0787024 0.0473695 0.108266 0.0849833 0.0542983 0.0930119 0.0492867 0.0725933 0.0161144 0.0405085 0.123306 0.0394838
2 0.085392 0.0641804 0.150868 0.142551 0.0303951 0.141406 0.0789579 0.194935 0.135748 0.0932424 0.160683 0.0955025 0.126538 0.033188 0.0725872 0.19835 0.0711571
3 0.112368 0.0841905 0.20971 0.194789 0.0671543 0.191231 0.111864 0.269486 0.173967 0.120592 0.228192 0.131538 0.165155 0.0518282 0.0960727 0.2382 0.0926496
4 0.151083 0.111401 0.264863 0.237626 0.101037 0.230703 0.144835 0.330996 0.209879 0.149757 0.275697 0.162973 0.202858 0.0722412 0.120471 0.271099 0.115115
5 0.18591 0.139585 0.313238 0.273443 0.121244 0.266146 0.181793 0.375078 0.244969 0.179174 0.32162 0.190035 0.247196 0.0971772 0.144895 0.294183 0.1355
6 0.222465 0.160852 0.352637 0.305461 0.148206 0.309118 0.22696 0.422439 0.282354 0.21924 0.366391 0.221079 0.299455 0.122489 0.171652 0.317545 0.161258
7 0.266456 0.175981 0.388406 0.338406 0.187864 0.349687 0.25921 0.461436 0.310513 0.267976 0.412908 0.261841 0.346497 0.144229 0.203901 0.344028 0.187284
8 0.309857 0.196824 0.419845 0.367921 0.232873 0.38439 0.297734 0.508629 0.344254 0.319805 0.449578 0.296479 0.389226 0.160678 0.248789 0.368019 0.222836
9 0.353701 0.217341 0.451444 0.415916 0.284902 0.421359 0.325088 0.549426 0.383964 0.371361 0.486963 0.327089 0.418314 0.172955 0.299884 0.395015 0.262641
10 0.392109 0.255698 0.479907 0.447039 0.330552 0.454222 0.356601 0.59488 0.413638 0.419712 0.530234 0.361939 0.45069 0.189854 0.351373 0.419477 0.297386
11 0.4262 0.299885 0.510827 0.486018 0.383821 0.47937 0.381252 0.633408 0.437471 0.459534 0.573406 0.385774 0.484918 0.215185 0.400554 0.444251 0.313408
12 0.449378 0.341075 0.536533 0.522561 0.450843 0.509396 0.411654 0.667152 0.465141 0.50519 0.614762 0.420749 0.530577 0.235497 0.445273 0.47217 0.344213
13 0.47644 0.358324 0.563257 0.558858 0.503553 0.554479 0.441395 0.692839 0.498821 0.55914 0.642839 0.457583 0.598043 0.25513 0.492401 0.49315 0.381428
14 0.517789 0.387818 0.592814 0.58767 0.545534 0.593276 0.481892 0.722411 0.537437 0.6101 0.668967 0.4987 0.656065 0.282069 0.52125 0.516594 0.414071
15 0.544057 0.40537 0.633413 0.64402 0.596811 0.633087 0.516059 0.757891 0.571034 0.660178 0.701902 0.52709 0.693268 0.314747 0.560059 0.541188 0.431813
16 0.594233 0.427463 0.672194 0.709891 0.674301 0.682398 0.548699 0.781762 0.609284 0.721961 0.728499 0.55703 0.743801 0.345841 0.597092 0.562064 0.456071
17 0.640649 0.45054 0.70884 0.767906 0.755286 0.730787 0.574525 0.800214 0.64229 0.776933 0.75419 0.588304 0.822823 0.389424 0.639012 0.590958 0.487538
18 0.673008 0.488843 0.739891 0.801897 0.832444 0.764484 0.598341 0.817774 0.669078 0.822661 0.778099 0.632426 0.908271 0.432228 0.680234 0.624722 0.518371
19 0.700026 0.524068 0.775169 0.838614 0.921542 0.803336 0.612875 0.839012 0.708213 0.870494 0.806117 0.668556 0.998038 0.46941 0.722988 0.663815 0.552847
20 0.724883 0.553844 0.831853 0.867727 1.00515 0.838313 0.628366 0.87364 0.763144 0.9257 0.84077 0.72197 1.09013 0.506698 0.759033 0.714423 0.597753
21 0.750414 0.594527 0.865139 0.891866 1.0723 0.86379 0.642559 0.915378 0.784421 0.984203 0.87816 0.750856 1.18033 0.530493 0.78875 0.764251 0.644577
22 0.790997 0.616143 0.894139 0.91521 1.11216 0.890446 0.663231 0.938364 0.814127 1.04691 0.913843 0.784671 1.25303 0.554274 0.815677 0.816356 0.683138
23 0.830796 0.640645 0.927746 0.945132 1.15479 0.91969 0.685665 0.959552 0.843029 1.11953 0.96519 0.838103 1.31812 0.596253 0.853907 0.88069 0.720242
24 0.857404 0.663344 0.963854 0.971771 1.21734 0.95361 0.715162 0.989231 0.869043 1.19438 1.0154 0.895616 1.36973 0.631878 0.899122 0.921735 0.76084
25 0.882418 0.677472 1.00195 0.997582 1.26968 0.998753 0.750426 1.02642 0.910999 1.25919 1.05608 0.944842 1.43284 0.66573 0.940982 0.950868 0.802202
26 0.904404 0.689851 1.04197 1.02246 1.32824 1.03817 0.786654 1.05779 0.943728 1.34242 1.10281 0.981609 1.49127 0.713485 0.978142 0.991884 0.845067
27 0.929259 0.708099 1.07899 1.04205 1.38605 1.06127 0.821937 1.08484 0.975214 1.4176 1.1381 1.02271 1.53587 0.76871 1.01701 1.02772 0.894316
28 0.945484 0.7325 1.11666 1.06347 1.43791 1.09099 0.855811 1.10834 1.02468 1.47731 1.1684 1.07828 1.58363 0.805493 1.06803 1.05634 0.917726
29 0.962344 0.770774 1.15398 1.08055 1.46979 1.12932 0.885228 1.13197 1.07116 1.53598 1.2256 1.12663 1.63158 0.856417 1.12581 1.09453 0.945743
30 0.978867 0.80512 1.17673 1.0985 1.50124 1.1637 0.908134 1.15339 1.1129 1.56917 1.2784 1.16216 1.67452 0.883826 1.18971 1.12158 0.981949
31 0.992964 0.845191 1.20236 1.11654 1.54277 1.19683 0.929833 1.17129 1.1547 1.61353 1.30385 1.19512 1.73063 0.916753 1.2421 1.1492 1.01855
32 1.01886 0.881438 1.2213 1.15646 1.59538 1.21351 0.949624 1.18889 1.18769 1.65839 1.33192 1.23228 1.78993 0.955711 1.29452 1.18985 1.03944
33 1.04496 0.938163 1.23924 1.18532 1.62992 1.23034 0.973048 1.20656 1.2308 1.69834 1.36893 1.2715 1.84972 0.991202 1.34145 1.24216 1.06711
34 1.05845 0.978296 1.25822 1.20982 1.65958 1.24197 0.99415 1.23813 1.28303 1.72622 1.39772 1.30069 1.90503 1.02879 1.39216 1.29159 1.10663
35 1.089 1.00579 1.2886 1.26338 1.68884 1.25296 1.01088 1.26439 1.3314 1.7556 1.42956 1.34295 1.97102 1.08009 1.4287 1.33583 1.15345
36 1.13436 1.06028 1.30595 1.29774 1.74023 1.26921 1.02784 1.29178 1.36526 1.78998 1.46974 1.37298 2.02978 1.11774 1.46913 1.3644 1.17363
37 1.16558 1.08919 1.32486 1.32874 1.78282 1.28963 1.05387 1.30925 1.40654 1.8293 1.51771 1.3973 2.0604 1.14062 1.52867 1.38985 1.19528
38 1.20393 1.11561 1.33828 1.35777 1.8162 1.31001 1.07036 1.32843 1.43924 1.87305 1.54604 1.43049 2.10163 1.15908 1.59102 1.42449 1.21828
39 1.25211 1.14467 1.35507 1.38937 1.86415 1.33201 1.08494 1.34302 1.48063 1.92694 1.57222 1.46099 2.14388 1.18462 1.67891 1.45738 1.23893
40 1.27874 1.17727 1.37213 1.42072 1.912 1.3513 1.10117 1.3586 1.53675 1.98001 1.60093 1.49845 2.17746 1.22643 1.76347 1.47445 1.2657
41 1.31909 1.22021 1.38744 1.44515 1.96588 1.37992 1.12617 1.37523 1.58822 2.04378 1.62423 1.52424 2.20078 1.26811 1.82442 1.49015 1.32898
42 1.36342 1.26052 1.40911 1.47701 1.99708 1.41654 1.15898 1.38928 1.64379 2.09882 1.66621 1.55521 2.22678 1.32332 1.87251 1.51889 1.37169
43 1.40422 1.2832 1.43031 1.5126 2.03183 1.45004 1.18853 1.40368 1.68858 2.15918 1.69776 1.58225 2.26188 1.38048 1.9226 1.55042 1.3874
44 1.42943 1.30963 1.449 1.54599 2.06147 1.4873 1.21995 1.41953 1.73629 2.21075 1.72887 1.61665 2.31757 1.41919 2.00301 1.59983 1.40469
45 1.45561 1.33877 1.46793 1.56336 2.09021 1.53981 1.25102 1.43609 1.76799 2.29962 1.7572 1.65194 2.3599 1.45752 2.07681 1.64834 1.4314
46 1.4933 1.38143 1.49606 1.58582 2.12553 1.60024 1.28075 1.4542 1.80324 2.38284 1.78397 1.68459 2.39269 1.49583 2.14237 1.71272 1.45244
47 1.54813 1.42299 1.51859 1.61988 2.17969 1.63965 1.30547 1.46872 1.84038 2.46176 1.80488 1.70934 2.46471 1.54129 2.18251 1.74491 1.47707
48 1.60604 1.44811 1.54531 1.65607 2.22745 1.67004 1.33213 1.49474 1.87977 2.52268 1.82959 1.73187 2.51081 1.57462 2.21317 1.77649 1.49692
49 1.63473 1.47391 1.58124 1.69587 2.25226 1.70901 1.35388 1.53055 1.92644 2.58524 1.8493 1.77141 2.53983 1.60296 2.26611 1.81266 1.52819
50 1.65668 1.51033 1.61495 1.73788 2.27617 1.75308 1.37733 1.56046 1.96333 2.6503 1.8623 1.80014 2.57772 1.66417 2.30511 1.85562 1.5524
51 1.68605 1.54825 1.63782 1.77862 2.31322 1.78032 1.4057 1.57912 1.97678 2.70474 1.87877 1.82643 2.63374 1.70937 2.37196 1.90272 1.60294
52 1.71086 1.58095 1.67534 1.83844 2.34841 1.80874 1.44527 1.5952 1.99455 2.76291 1.90436 1.84438 2.67129 1.75501 2.41219 1.94831 1.64568
53 1.73319 1.60341 1.70364 1.88776 2.36964 1.82471 1.47546 1.6111 2.0178 2.83622 1.92693 1.87254 2.70666 1.80296 2.4538 2.01586 1.69122
54 1.75558 1.62637 1.74934 1.96961 2.39061 1.8402 1.50453 1.63241 2.04161 2.91634 1.94219 1.92435 2.73375 1.84002 2.47925 2.05922 1.73898
55 1.78654 1.64851 1.77477 2.0242 2.41576 1.85861 1.53352 1.665 2.06544 2.97529 1.96216 1.97888 2.7503 1.90018 2.5219 2.1071 1.77742
56 1.83147 1.70387 1.79365 2.05816 2.44231 1.88668 1.56342 1.68303 2.09092 3.0527 1.99338 2.02698 2.77172 1.94675 2.56951 2.1625 1.80719
57 1.87457 1.73776 1.81747 2.09783 2.46057 1.90508 1.6035 1.72323 2.11744 3.13047 2.01447 2.06473 2.79701 1.97811 2.61223 2.19288 1.87407
58 1.89789 1.76023 1.86546 2.12527 2.47759 1.91818 1.62194 1.74748 2.1502 3.18446 2.03124 2.10194 2.8345 2.03125 2.64048 2.2099 1.92452
59 1.92229 1.78147 1.92667 2.15695 2.50069 1.93107 1.64593 1.78984 2.1908 3.23255 2.0455 2.13647 2.87217 2.06843 2.6681 2.23284 1.96731
60 1.97771 1.80191 1.95799 2.19428 2.53663 1.94706 1.67161 1.81584 2.21943 3.28914 2.06321 2.16452 2.91879 2.0917 2.69296 2.25689 2.01158
61 2.02806 1.82406 1.99504 2.23111 2.56171 1.96589 1.69974 1.82631 2.25834 3.32651 2.08163 2.19535 2.95175 2.11226 2.72285 2.28014 2.04406
62 2.06763 1.84864 2.01648 2.26032 2.5876 1.9828 1.73033 1.8372 2.30108 3.37245 2.10214 2.22906 2.98242 2.14332 2.75447 2.30462 2.06481
63 2.10597 1.87674 2.06244 2.28023 2.6198 2.00136 1.75223 1.85192 2.32489 3.42699 2.1203 2.26393 3.01475 2.17197 2.81336 2.32634 2.08504
64 2.15308 1.89393 2.09754 2.29719 2.66158 2.02385 1.7665 1.86804 2.35054 3.49019 2.13982 2.29363 3.04603 2.19001 2.84927 2.34918 2.11532
65 2.19365 1.92221 2.12764 2.31537 2.70654 2.03718 1.77942 1.8868 2.3789 3.55961 2.16098 2.3297 3.08029 2.21133 2.89567 2.39606 2.15361
66 2.22617 1.95039 2.15128 2.3411 2.73562 2.05229 1.87402 1.90616 2.40672 3.64289 2.17891 2.3867 3.12896 2.23312 2.92719 2.43581 2.18179
67 2.2594 1.97625 2.17217 2.36513 2.77231 2.06854 1.93954 1.91954 2.44481 3.70157 2.19975 2.41256 3.1764 2.252 2.95888 2.47402 2.21485
68 2.28842 2.00885 2.19659 2.39314 2.82 2.08695 1.99383 1.93441 2.47114 3.75754 2.2236 2.43176 3.20477 2.26472 3.01782 2.50459 2.24727
69 2.31307 2.03765 2.22461 2.4225 2.86501 2.11124 2.03535 1.94729 2.5059 3.81579 2.25015 2.44658 3.22645 2.28242 3.0518 2.53367 2.28044
70 2.34923 2.07249 2.24731 2.43795 2.90489 2.13212 2.07662 1.95719 2.54089 3.86065 2.26529 2.46197 3.24863 2.2993 3.07308 2.56524 2.31915
71 2.38789 2.10709 2.27301 2.4538 2.94443 2.14894 2.10681 1.97737 2.58063 3.90553 2.27791 2.47865 3.26839 2.32205 3.09107 2.60393 2.37074
72 2.41299 2.13486 2.28868 2.47968 2.98084 2.16684 2.13548 2.00571 2.61644 3.95881 2.2948 2.4981 3.28076 2.34054 3.1147 2.63843 2.39356
73 2.44686 2.15661 2.30692 2.50831 3.00924 2.18353 2.17272 2.03211 2.64616 3.98539 2.31243 2.52666 3.30378 2.36399 3.13661 2.65735 2.43719
74 2.47534 2.17156 2.32489 2.53733 3.04217 2.20089 2.20809 2.06557 2.68847 4.02307 2.32562 2.5444 3.32408 2.39383 3.14498 2.6764 2.45636
75 2.50429 2.1838 2.34408 2.56197 3.06454 2.22273 2.24967 2.09978 2.72911 4.05686 2.33964 2.56269 3.35768 2.4201 3.15681 2.69507 2.47582
76 2.5264 2.20121 2.382 2.58137 3.09151 2.24354 2.29666 2.13893 2.76458 4.08597 2.36289 2.58048 3.3819 2.44769 3.17591 2.71564 2.5196
77 2.53998 2.22508 2.41201 2.60085 3.11267 2.26098 2.34943 2.18174 2.78031 4.12266 2.38734 2.602 3.41236 2.48184 3.20345 2.73872 2.57363
78 2.59223 2.24567 2.43915 2.61955 3.15872 2.27704 2.39642 2.21349 2.80197 4.16118 2.40158 2.61993 3.44214 2.50603 3.22824 2.75039 2.60677
79 2.63369 2.27465 2.46864 2.6392 3.21436 2.29147 2.43843 2.24696 2.82732 4.19582 2.4085 2.64586 3.5043 2.53099 3.26788 2.76728 2.64723
80 2.66774 2.3112 2.49818 2.65717 3.25427 2.31188 2.4779 2.28511 2.8442 4.24058 2.4196 2.66292 3.57422 2.55436 3.31782 2.79168 2.68999
81 2.69889 2.34339 2.52149 2.67658 3.27524 2.3299 2.50714 2.32437 2.88575 4.27141 2.43363 2.67812 3.62943 2.57564 3.34797 2.80882 2.7135
82 2.73803 2.37554 2.54712 2.70128 3.29566 2.33652 2.53387 2.38117 2.93387 4.31326 2.45206 2.6986 3.67014 2.58792 3.36857 2.82667 2.76669
83 2.77366 2.41826 2.57792 2.72778 3.31269 2.34225 2.56213 2.42599 2.98112 4.35382 2.47029 2.71902 3.70824 2.61005 3.38511 2.83979 2.81562
84 2.82042 2.46637 2.6135 2.74879 3.33254 2.35091 2.60829 2.48427 3.02977 4.39533 2.47959 2.74173 3.75414 2.63093 3.41712 2.85346 2.84817
85 2.84581 2.50437 2.63142 2.76904 3.35166 2.36333 2.653 2.53695 3.06837 4.43387 2.4885 2.75969 3.78889 2.65942 3.44987 2.86999 2.87274
86 2.87783 2.53745 2.65825 2.7924 3.3739 2.37617 2.6814 2.58669 3.10362 4.48534 2.50248 2.77687 3.81801 2.68293 3.49827 2.88682 2.88424
87 2.904 2.56235 2.67832 2.81053 3.40927 2.38771 2.70502 2.64655 3.13854 4.52305 2.51731 2.79357 3.86228 2.70815 3.53638 2.90148 2.89692
88 2.9388 2.59037 2.70348 2.82482 3.43204 2.39879 2.73777 2.70332 3.17822 4.55947 2.53062 2.80768 3.88461 2.73973 3.5674 2.92513 2.92789
89 2.95695 2.61808 2.73704 2.84886 3.4628 2.41804 2.77823 2.76652 3.2207 4.59263 2.54362 2.8284 3.93322 2.77418 3.59805 2.94534 2.958
90 2.97955 2.65031 2.77976 2.86387 3.5121 2.44336 2.84321 2.8245 3.24832 4.63734 2.54904 2.84295 3.96318 2.81149 3.62981 2.96987 2.98411
91 3.01382 2.68268 2.81732 2.88391 3.54156 2.47675 2.91167 2.86734 3.27867 4.66807 2.55923 2.861 4.00173 2.85986 3.65256 2.99348 2.99977
92 3.03565 2.71556 2.84257 2.91139 3.56732 2.50089 2.96935 2.91011 3.30962 4.70412 2.57901 2.87973 4.04063 2.88444 3.67039 3.01756 3.01689
93 3.05625 2.75781 2.87592 2.93845 3.64039 2.51939 3.01722 2.9536 3.34183 4.75013 2.61694 2.89381 4.11826 2.90413 3.68863 3.04528 3.02815
94 3.08039 2.78529 2.92061 2.97188 3.69484 2.55396 3.08314 2.99183 3.37274 4.81583 2.65991 2.90855 4.15718 2.93116 3.71345 3.06443 3.03977
