 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 0.052633 0.0393796 0.0891748 0.0785451 0.0197052 0.0748271 0.0435092 0.109409 0.0750171 0.0547481 0.0884431 0.0483736 0.0672446 0.0153221 0.0414153 0.118488 0.0393984
2 0.083533 0.0652281 0.150309 0.141898 0.0295913 0.134404 0.0725672 0.196623 0.122835 0.0937886 0.153803 0.0923855 0.117154 0.0320705 0.0739719 0.190389 0.0704955
3 0.111445 0.0851676 0.2092 0.192001 0.0616992 0.180561 0.10353 0.271177 0.159004 0.121158 0.220289 0.129269 0.151874 0.0507916 0.0974252 0.225777 0.0897774
4 0.150175 0.109261 0.264759 0.233594 0.0930439 0.21607 0.13678 0.328553 0.193849 0.149086 0.267681 0.161311 0.188329 0.0713833 0.121373 0.259151 0.110526
5 0.183868 0.134462 0.311779 0.269766 0.112538 0.249276 0.172559 0.368114 0.226789 0.178169 0.313601 0.187818 0.231507 0.0964793 0.144379 0.282566 0.128348
6 0.218647 0.156616 0.349273 0.302583 0.138082 0.290031 0.214052 0.409625 0.258749 0.21619 0.357824 0.214811 0.282559 0.122013 0.168129 0.305661 0.151168
7 0.25909 0.172375 0.384795 0.331791 0.175087 0.327781 0.246267 0.448499 0.283128 0.261834 0.402402 0.25098 0.326509 0.143897 0.196724 0.331809 0.174
8 0.297334 0.194088 0.415638 0.356813 0.217202 0.358944 0.282998 0.49677 0.314242 0.311791 0.436704 0.281964 0.368445 0.160362 0.236343 0.355794 0.204279
9 0.336664 0.215447 0.446556 0.39846 0.266518 0.391672 0.309336 0.538437 0.350995 0.362071 0.472994 0.310783 0.398215 0.172393 0.281833 0.383176 0.23914
10 0.372101 0.25055 0.473825 0.430565 0.310301 0.421775 0.337879 0.584923 0.378183 0.408468 0.513519 0.343076 0.430474 0.18909 0.328583 0.407509 0.271499
11 0.40609 0.288663 0.502704 0.469121 0.35649 0.444152 0.360432 0.62375 0.402155 0.44648 0.553584 0.367161 0.464465 0.212708 0.372935 0.431571 0.287417
12 0.430028 0.32418 0.52825 0.505996 0.414093 0.472101 0.387005 0.657978 0.42887 0.490403 0.591393 0.400203 0.507267 0.232134 0.412151 0.458503 0.315546
13 0.457601 0.342156 0.553229 0.543489 0.460963 0.512797 0.414606 0.684256 0.459329 0.542123 0.619605 0.434971 0.568551 0.251394 0.454474 0.478971 0.350861
14 0.497261 0.371083 0.583249 0.573225 0.5013 0.546608 0.451356 0.712749 0.493288 0.590366 0.645738 0.472464 0.618181 0.277647 0.480346 0.500335 0.384296
15 0.523772 0.389378 0.62075 0.627116 0.546496 0.584609 0.48212 0.743487 0.52221 0.639058 0.678662 0.497434 0.651215 0.30893 0.518461 0.522886 0.402397
16 0.568417 0.412391 0.657381 0.685734 0.612763 0.63018 0.512073 0.763384 0.558734 0.695917 0.705337 0.524703 0.69474 0.337908 0.554162 0.542665 0.427067
17 0.60811 0.434836 0.692073 0.736088 0.682216 0.673178 0.536036 0.78106 0.591003 0.748072 0.731106 0.552128 0.762457 0.378144 0.59502 0.568139 0.456051
18 0.636518 0.468078 0.723984 0.766147 0.748564 0.704259 0.557496 0.798009 0.616915 0.791988 0.755039 0.591325 0.835848 0.417568 0.633762 0.598302 0.486714
